# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Carp;
0.000000,0,0.000000,
0.000058,3,0.000019,{ use 5.006; }
0.000030,2,0.000015,use strict;
0.000038,2,0.000019,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000087,2,0.000043,no strict "refs";
0.000010,1,0.000010,if(exists($::{"utf8::"}) && exists(*{$::{"utf8::"}}{HASH}->{"is_utf8"}) &&
0.000000,0,0.000000,defined(*{*{$::{"utf8::"}}{HASH}->{"is_utf8"}}{CODE})) {
0.000000,0,0.000000,*is_utf8 = \&{"utf8::is_utf8"};
0.000000,0,0.000000,} else {
0.000000,0,0.000000,*is_utf8 = sub { 0 };
0.000000,0,0.000000,}
0.000029,1,0.000029,}
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000081,2,0.000040,no strict "refs";
0.000009,1,0.000009,if(exists($::{"utf8::"}) && exists(*{$::{"utf8::"}}{HASH}->{"downgrade"}) &&
0.000000,0,0.000000,defined(*{*{$::{"utf8::"}}{HASH}->{"downgrade"}}{CODE})) {
0.000000,0,0.000000,*downgrade = \&{"utf8::downgrade"};
0.000000,0,0.000000,} else {
0.000000,0,0.000000,*downgrade = sub {};
0.000000,0,0.000000,}
0.000180,1,0.000180,}
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '1.26';
0.000000,0,0.000000,
0.000002,1,0.000002,our $MaxEvalLen = 0;
0.000001,1,0.000001,our $Verbose    = 0;
0.000001,1,0.000001,our $CarpLevel  = 0;
0.000001,1,0.000001,our $MaxArgLen  = 64;    # How much of each argument to print. 0 = all.
0.000001,1,0.000001,our $MaxArgNums = 8;     # How many arguments to print. 0 = all.
0.000000,0,0.000000,
0.000676,1,0.000676,require Exporter;
0.000009,1,0.000009,our @ISA       = ('Exporter');
0.000002,1,0.000002,our @EXPORT    = qw(confess croak carp);
0.000002,1,0.000002,our @EXPORT_OK = qw(cluck verbose longmess shortmess);
0.000002,1,0.000002,our @EXPORT_FAIL = qw(verbose);    # hook to enable verbose mode
0.000000,0,0.000000,
0.000000,0,0.000000,# The members of %Internal are packages that are internal to perl.
0.000000,0,0.000000,# Carp will not report errors from within these packages if it
0.000000,0,0.000000,# can.  The members of %CarpInternal are internal to Perl's warning
0.000000,0,0.000000,# system.  Carp will not report errors from within these packages
0.000000,0,0.000000,# either, and will not report calls *to* these packages for carp and
0.000000,0,0.000000,# croak.  They replace $CarpLevel, which is deprecated.    The
0.000000,0,0.000000,# $Max(EvalLen|(Arg(Len|Nums)) variables are used to specify how the eval
0.000000,0,0.000000,# text and function arguments should be formatted when printed.
0.000000,0,0.000000,
0.000002,1,0.000002,our %CarpInternal;
0.000001,1,0.000001,our %Internal;
0.000000,0,0.000000,
0.000000,0,0.000000,# disable these by default, so they can live w/o require Carp
0.000002,1,0.000002,$CarpInternal{Carp}++;
0.000002,1,0.000002,$CarpInternal{warnings}++;
0.000002,1,0.000002,$Internal{Exporter}++;
0.000002,1,0.000002,$Internal{'Exporter::Heavy'}++;
0.000000,0,0.000000,
0.000000,0,0.000000,# if the caller specifies verbose usage ("perl -MCarp=verbose script.pl")
0.000000,0,0.000000,# then the following method will be called by the Exporter which knows
0.000000,0,0.000000,# to do this thanks to @EXPORT_FAIL, above.  $_[1] will contain the word
0.000000,0,0.000000,# 'verbose'.
0.000000,0,0.000000,
0.000000,0,0.000000,sub export_fail { shift; $Verbose = shift if $_[0] eq 'verbose'; @_ }
0.000000,0,0.000000,
0.000000,0,0.000000,sub _cgc {
0.000329,2,0.000164,no strict 'refs';
0.000045,13,0.000003,return \&{"CORE::GLOBAL::caller"} if defined &{"CORE::GLOBAL::caller"};
0.000062,13,0.000005,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub longmess {
0.000000,0,0.000000,# Icky backwards compatibility wrapper. :-(
0.000000,0,0.000000,#
0.000000,0,0.000000,# The story is that the original implementation hard-coded the
0.000000,0,0.000000,# number of call levels to go back, so calls to longmess were off
0.000000,0,0.000000,# by one.  Other code began calling longmess and expecting this
0.000000,0,0.000000,# behaviour, so the replacement has to emulate that behaviour.
0.000000,0,0.000000,my $cgc = _cgc();
0.000000,0,0.000000,my $call_pack = $cgc ? $cgc->() : caller();
0.000000,0,0.000000,if ( $Internal{$call_pack} or $CarpInternal{$call_pack} ) {
0.000000,0,0.000000,return longmess_heavy(@_);
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,local $CarpLevel = $CarpLevel + 1;
0.000000,0,0.000000,return longmess_heavy(@_);
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000001,1,0.000001,our @CARP_NOT;
0.000000,0,0.000000,
0.000000,0,0.000000,sub shortmess {
0.000000,0,0.000000,my $cgc = _cgc();
0.000000,0,0.000000,
0.000000,0,0.000000,# Icky backwards compatibility wrapper. :-(
0.000000,0,0.000000,local @CARP_NOT = $cgc ? $cgc->() : caller();
0.000000,0,0.000000,shortmess_heavy(@_);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub croak   { die shortmess @_ }
0.000000,0,0.000000,sub confess { die longmess @_ }
0.000000,0,0.000000,sub carp    { warn shortmess @_ }
0.000000,0,0.000000,sub cluck   { warn longmess @_ }
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000016,1,0.000016,if("$]" >= 5.015002 || ("$]" >= 5.014002 && "$]" < 5.015) ||
0.000000,0,0.000000,("$]" >= 5.012005 && "$]" < 5.013)) {
0.000000,0,0.000000,*CALLER_OVERRIDE_CHECK_OK = sub () { 1 };
0.000000,0,0.000000,} else {
0.000000,0,0.000000,*CALLER_OVERRIDE_CHECK_OK = sub () { 0 };
0.000000,0,0.000000,}
0.001392,1,0.001392,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub caller_info {
0.000000,0,0.000000,my $i = shift(@_) + 1;
0.000000,0,0.000000,my %call_info;
0.000000,0,0.000000,my $cgc = _cgc();
0.000000,0,0.000000,{
0.000000,0,0.000000,# Some things override caller() but forget to implement the
0.000000,0,0.000000,# @DB::args part of it, which we need.  We check for this by
0.000000,0,0.000000,# pre-populating @DB::args with a sentinel which no-one else
0.000000,0,0.000000,# has the address of, so that we can detect whether @DB::args
0.000000,0,0.000000,# has been properly populated.  However, on earlier versions
0.000000,0,0.000000,# of perl this check tickles a bug in CORE::caller() which
0.000000,0,0.000000,# leaks memory.  So we only check on fixed perls.
0.000000,0,0.000000,@DB::args = \$i if CALLER_OVERRIDE_CHECK_OK;
0.000000,0,0.000000,package DB;
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,unless ( defined $call_info{pack} ) {
0.000000,0,0.000000,return ();
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,my $sub_name = Carp::get_subname( \%call_info );
0.000000,0,0.000000,if ( $call_info{has_args} ) {
0.000000,0,0.000000,my @args;
0.000000,0,0.000000,if (CALLER_OVERRIDE_CHECK_OK && @DB::args == 1
0.000000,0,0.000000,&& ref $DB::args[0] eq ref \$i
0.000000,0,0.000000,&& $DB::args[0] == \$i ) {
0.000000,0,0.000000,@DB::args = ();    # Don't let anyone see the address of $i
0.000000,0,0.000000,local $@;
0.000000,0,0.000000,my $where = eval {
0.000000,0,0.000000,my $func    = $cgc or return '';
0.000000,0,0.000000,my $gv      =
0.000000,0,0.000000,*{
0.000000,0,0.000000,( $::{"B::"} || return '')       # B stash
0.000000,0,0.000000,->{svref_2object} || return '' # entry in stash
0.000000,0,0.000000,}{CODE}                             # coderef in entry
0.000000,0,0.000000,->($func)->GV;
0.000000,0,0.000000,my $package = $gv->STASH->NAME;
0.000000,0,0.000000,my $subname = $gv->NAME;
0.000000,0,0.000000,return unless defined $package && defined $subname;
0.000000,0,0.000000,
