# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,package Class::MOP::Attribute;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Class::MOP::Attribute::AUTHORITY = 'cpan:STEVAN';
0.000036,1,0.000036,}
0.000000,0,0.000000,{
0.000005,2,0.000003,$Class::MOP::Attribute::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000034,2,0.000017,use strict;
0.000034,2,0.000017,use warnings;
0.000000,0,0.000000,
0.000032,2,0.000016,use Class::MOP::Method::Accessor;
0.000000,0,0.000000,
0.000036,2,0.000018,use Carp         'confess';
0.000034,2,0.000017,use Scalar::Util 'blessed', 'weaken';
0.000037,2,0.000018,use Try::Tiny;
0.000000,0,0.000000,
0.002055,2,0.001028,use base 'Class::MOP::Object', 'Class::MOP::Mixin::AttributeCore';
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE: (meta-circularity)
0.000000,0,0.000000,# This method will be replaced in the
0.000000,0,0.000000,# boostrap section of Class::MOP, by
0.000000,0,0.000000,# a new version which uses the
0.000000,0,0.000000,# &Class::MOP::Class::construct_instance
0.000000,0,0.000000,# method to build an attribute meta-object
0.000000,0,0.000000,# which itself is described with attribute
0.000000,0,0.000000,# meta-objects.
0.000000,0,0.000000,#     - Ain't meta-circularity grand? :)
0.000000,0,0.000000,sub new {
0.000388,131,0.000003,my ( $class, @args ) = @_;
0.000000,0,0.000000,
0.000292,131,0.000002,unshift @args, "name" if @args % 2 == 1;
0.000411,131,0.000003,my %options = @args;
0.000000,0,0.000000,
0.000223,131,0.000002,my $name = $options{name};
0.000000,0,0.000000,
0.000191,131,0.000001,(defined $name)
0.000000,0,0.000000,|| confess "You must provide a name for the attribute";
0.000000,0,0.000000,
0.000273,131,0.000002,$options{init_arg} = $name
0.000000,0,0.000000,if not exists $options{init_arg};
0.000395,131,0.000003,if(exists $options{builder}){
0.000002,1,0.000002,confess("builder must be a defined scalar value which is a method name")
0.000000,0,0.000000,if ref $options{builder} || !(defined $options{builder});
0.000002,1,0.000002,confess("Setting both default and builder is not allowed.")
0.000000,0,0.000000,if exists $options{default};
0.000000,0,0.000000,} else {
0.000382,130,0.000003,($class->is_default_a_coderef(\%options))
0.000000,0,0.000000,|| confess("References are not allowed as default values, you must ".
0.000000,0,0.000000,"wrap the default of '$name' in a CODE reference (ex: sub { [] } and not [])")
0.000000,0,0.000000,if exists $options{default} && ref $options{default};
0.000000,0,0.000000,}
0.000199,131,0.000002,if( $options{required} and not( defined($options{builder}) || defined($options{init_arg}) || exists $options{default} ) ) {
0.000000,0,0.000000,confess("A required attribute must have either 'init_arg', 'builder', or 'default'");
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.001274,131,0.000010,$class->_new(\%options);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _new {
0.000189,123,0.000002,my $class = shift;
0.000000,0,0.000000,
0.000205,123,0.000002,return Class::MOP::Class->initialize($class)->new_object(@_)
0.000000,0,0.000000,if $class ne __PACKAGE__;
0.000000,0,0.000000,
0.000209,122,0.000002,my $options = @_ == 1 ? $_[0] : {@_};
0.000000,0,0.000000,
0.001498,122,0.000012,bless {
0.000000,0,0.000000,'name'               => $options->{name},
0.000000,0,0.000000,'accessor'           => $options->{accessor},
0.000000,0,0.000000,'reader'             => $options->{reader},
0.000000,0,0.000000,'writer'             => $options->{writer},
0.000000,0,0.000000,'predicate'          => $options->{predicate},
