# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,package Class::MOP::Class;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Class::MOP::Class::AUTHORITY = 'cpan:STEVAN';
0.000031,1,0.000031,}
0.000000,0,0.000000,{
0.000006,2,0.000003,$Class::MOP::Class::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000033,2,0.000016,use strict;
0.000033,2,0.000016,use warnings;
0.000000,0,0.000000,
0.000109,2,0.000054,use Class::MOP::Instance;
0.000113,2,0.000056,use Class::MOP::Method::Wrapped;
0.000136,2,0.000068,use Class::MOP::Method::Accessor;
0.000131,2,0.000065,use Class::MOP::Method::Constructor;
0.000109,2,0.000055,use Class::MOP::MiniTrait;
0.000000,0,0.000000,
0.000036,2,0.000018,use Carp         'confess';
0.000036,2,0.000018,use Class::Load  'is_class_loaded', 'load_class';
0.000034,2,0.000017,use Scalar::Util 'blessed', 'reftype', 'weaken';
0.000033,2,0.000017,use Sub::Name    'subname';
0.000034,2,0.000017,use Try::Tiny;
0.000037,2,0.000019,use List::MoreUtils 'all';
0.000000,0,0.000000,
0.000010,1,0.000010,use base 'Class::MOP::Module',
0.000000,0,0.000000,'Class::MOP::Mixin::HasAttributes',
0.005962,1,0.005962,'Class::MOP::Mixin::HasMethods';
0.000000,0,0.000000,
0.000000,0,0.000000,# Creation
0.000000,0,0.000000,
0.000000,0,0.000000,sub initialize {
0.002306,1470,0.000002,my $class = shift;
0.000000,0,0.000000,
0.002011,1470,0.000001,my $package_name;
0.000000,0,0.000000,
0.002596,1470,0.000002,if ( @_ % 2 ) {
0.000000,0,0.000000,$package_name = shift;
0.000000,0,0.000000,} else {
0.000000,0,0.000000,my %options = @_;
0.000000,0,0.000000,$package_name = $options{package};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.002214,1470,0.000002,($package_name && !ref($package_name))
0.000000,0,0.000000,|| confess "You must pass a package name and it cannot be blessed";
0.000000,0,0.000000,
0.018205,1470,0.000012,return Class::MOP::get_metaclass_by_name($package_name)
0.000000,0,0.000000,|| $class->_construct_class_instance(package => $package_name, @_);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub reinitialize {
0.000000,0,0.000000,my ( $class, @args ) = @_;
0.000000,0,0.000000,unshift @args, "package" if @args % 2;
0.000000,0,0.000000,my %options = @args;
0.000000,0,0.000000,my $old_metaclass = blessed($options{package})
0.000000,0,0.000000,? $options{package}
0.000000,0,0.000000,: Class::MOP::get_metaclass_by_name($options{package});
0.000000,0,0.000000,$options{weaken} = Class::MOP::metaclass_is_weak($old_metaclass->name)
0.000000,0,0.000000,if !exists $options{weaken}
0.000000,0,0.000000,&& blessed($old_metaclass)
0.000000,0,0.000000,&& $old_metaclass->isa('Class::MOP::Class');
0.000000,0,0.000000,$old_metaclass->_remove_generated_metaobjects
0.000000,0,0.000000,if $old_metaclass && $old_metaclass->isa('Class::MOP::Class');
0.000000,0,0.000000,my $new_metaclass = $class->SUPER::reinitialize(%options);
0.000000,0,0.000000,$new_metaclass->_restore_metaobjects_from($old_metaclass)
0.000000,0,0.000000,if $old_metaclass && $old_metaclass->isa('Class::MOP::Class');
0.000000,0,0.000000,return $new_metaclass;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE: (meta-circularity)
0.000000,0,0.000000,# this is a special form of _construct_instance
0.000000,0,0.000000,# (see below), which is used to construct class
0.000000,0,0.000000,# meta-object instances for any Class::MOP::*
0.000000,0,0.000000,# class. All other classes will use the more
0.000000,0,0.000000,# normal &construct_instance.
0.000000,0,0.000000,sub _construct_class_instance {
0.000111,69,0.000002,my $class        = shift;
0.000211,69,0.000003,my $options      = @_ == 1 ? $_[0] : {@_};
0.000122,69,0.000002,my $package_name = $options->{package};
0.000105,69,0.000002,(defined $package_name && $package_name)
0.000000,0,0.000000,|| confess "You must pass a package name";
0.000000,0,0.000000,# NOTE:
0.000000,0,0.000000,# return the metaclass if we have it cached,
0.000000,0,0.000000,# and it is still defined (it has not been
0.000000,0,0.000000,# reaped by DESTROY yet, which can happen
0.000000,0,0.000000,# annoyingly enough during global destruction)
0.000000,0,0.000000,
0.000352,69,0.000005,if (defined(my $meta = Class::MOP::get_metaclass_by_name($package_name))) {
0.000000,0,0.000000,return $meta;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,$class
0.000154,69,0.000002,= ref $class
0.000000,0,0.000000,? $class->_real_ref_name
0.000000,0,0.000000,: $class;
0.000000,0,0.000000,
0.000000,0,0.000000,# now create the metaclass
0.000096,69,0.000001,my $meta;
0.000413,69,0.000006,if ($class eq 'Class::MOP::Class') {
0.000000,0,0.000000,$meta = $class->_new($options);
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,# NOTE:
0.000000,0,0.000000,# it is safe to use meta here because
0.000000,0,0.000000,# class will always be a subclass of
0.000000,0,0.000000,# Class::MOP::Class, which defines meta
0.000022,2,0.000011,$meta = $class->meta->_construct_instance($options)
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# and check the metaclass compatibility
0.000462,69,0.000007,$meta->_check_metaclass_compatibility();
0.000000,0,0.000000,
0.000363,69,0.000005,Class::MOP::store_metaclass_by_name($package_name, $meta);
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE:
0.000000,0,0.000000,# we need to weaken any anon classes
0.000000,0,0.000000,# so that they can call DESTROY properly
0.000120,69,0.000002,Class::MOP::weaken_metaclass($package_name) if $options->{weaken};
0.000000,0,0.000000,
0.000374,69,0.000005,$meta;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _real_ref_name {
0.000087,60,0.000001,my $self = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE: we need to deal with the possibility of class immutability here,
0.000000,0,0.000000,# and then get the name of the class appropriately
0.000681,60,0.000011,return $self->is_immutable
0.000000,0,0.000000,? $self->_get_mutable_metaclass_name()
0.000000,0,0.000000,: ref $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _new {
0.000105,67,0.000002,my $class = shift;
0.000000,0,0.000000,
0.000105,67,0.000002,return Class::MOP::Class->initialize($class)->new_object(@_)
0.000000,0,0.000000,if $class ne __PACKAGE__;
0.000000,0,0.000000,
0.000122,67,0.000002,my $options = @_ == 1 ? $_[0] : {@_};
0.000000,0,0.000000,
0.000972,67,0.000015,return bless {
0.000000,0,0.000000,# inherited from Class::MOP::Package
0.000000,0,0.000000,'package' => $options->{package},
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE:
0.000000,0,0.000000,# since the following attributes will
0.000000,0,0.000000,# actually be loaded from the symbol
0.000000,0,0.000000,# table, and actually bypass the instance
0.000000,0,0.000000,# entirely, we can just leave these things
0.000000,0,0.000000,# listed here for reference, because they
0.000000,0,0.000000,# should not actually have a value associated
0.000000,0,0.000000,# with the slot.
0.000000,0,0.000000,'namespace' => \undef,
0.000000,0,0.000000,'methods'   => {},
0.000000,0,0.000000,
0.000000,0,0.000000,# inherited from Class::MOP::Module
0.000000,0,0.000000,'version'   => \undef,
0.000000,0,0.000000,'authority' => \undef,
0.000000,0,0.000000,
0.000000,0,0.000000,# defined in Class::MOP::Class
0.000000,0,0.000000,'superclasses' => \undef,
0.000000,0,0.000000,
0.000000,0,0.000000,'attributes' => {},
0.000000,0,0.000000,'attribute_metaclass' =>
0.000000,0,0.000000,( $options->{'attribute_metaclass'} || 'Class::MOP::Attribute' ),
0.000000,0,0.000000,'method_metaclass' =>
0.000000,0,0.000000,( $options->{'method_metaclass'} || 'Class::MOP::Method' ),
0.000000,0,0.000000,'wrapped_method_metaclass' => (
0.000000,0,0.000000,$options->{'wrapped_method_metaclass'}
0.000000,0,0.000000,|| 'Class::MOP::Method::Wrapped'
0.000000,0,0.000000,),
0.000000,0,0.000000,'instance_metaclass' =>
0.000000,0,0.000000,( $options->{'instance_metaclass'} || 'Class::MOP::Instance' ),
0.000000,0,0.000000,'immutable_trait' => (
0.000000,0,0.000000,$options->{'immutable_trait'}
0.000000,0,0.000000,|| 'Class::MOP::Class::Immutable::Trait'
0.000000,0,0.000000,),
0.000000,0,0.000000,'constructor_name' => ( $options->{constructor_name} || 'new' ),
0.000000,0,0.000000,'constructor_class' => (
0.000000,0,0.000000,$options->{constructor_class} || 'Class::MOP::Method::Constructor'
0.000000,0,0.000000,),
0.000000,0,0.000000,'destructor_class' => $options->{destructor_class},
0.000000,0,0.000000,}, $class;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,## Metaclass compatibility
0.000000,0,0.000000,{
0.000008,2,0.000004,my %base_metaclass = (
0.000000,0,0.000000,attribute_metaclass      => 'Class::MOP::Attribute',
0.000000,0,0.000000,method_metaclass         => 'Class::MOP::Method',
0.000000,0,0.000000,wrapped_method_metaclass => 'Class::MOP::Method::Wrapped',
0.000000,0,0.000000,instance_metaclass       => 'Class::MOP::Instance',
0.000000,0,0.000000,constructor_class        => 'Class::MOP::Method::Constructor',
0.000000,0,0.000000,destructor_class         => 'Class::MOP::Method::Destructor',
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000582,84,0.000007,sub _base_metaclasses { %base_metaclass }
0.000000,0,0.000000,}
0.000000,0,0.000000,
