# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,package Class::MOP::Method::Accessor;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Class::MOP::Method::Accessor::AUTHORITY = 'cpan:STEVAN';
0.000032,1,0.000032,}
0.000000,0,0.000000,{
0.000005,2,0.000003,$Class::MOP::Method::Accessor::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000032,2,0.000016,use strict;
0.000033,2,0.000017,use warnings;
0.000000,0,0.000000,
0.000035,2,0.000017,use Carp         'confess';
0.000033,2,0.000016,use Scalar::Util 'blessed', 'weaken';
0.000035,2,0.000017,use Try::Tiny;
0.000000,0,0.000000,
0.001111,2,0.000556,use base 'Class::MOP::Method::Generated';
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000321,202,0.000002,my $class   = shift;
0.000820,202,0.000004,my %options = @_;
0.000000,0,0.000000,
0.000343,202,0.000002,(exists $options{attribute})
0.000000,0,0.000000,|| confess "You must supply an attribute to construct with";
0.000000,0,0.000000,
0.000313,202,0.000002,(exists $options{accessor_type})
0.000000,0,0.000000,|| confess "You must supply an accessor_type to construct with";
0.000000,0,0.000000,
0.002597,202,0.000013,(blessed($options{attribute}) && $options{attribute}->isa('Class::MOP::Attribute'))
0.000000,0,0.000000,|| confess "You must supply an attribute which is a 'Class::MOP::Attribute' instance";
0.000000,0,0.000000,
0.000350,202,0.000002,($options{package_name} && $options{name})
0.000000,0,0.000000,|| confess "You must supply the package_name and name parameters $Class::MOP::Method::UPGRADE_ERROR_TEXT";
0.000000,0,0.000000,
0.001115,202,0.000006,my $self = $class->_new(\%options);
0.000000,0,0.000000,
0.000000,0,0.000000,# we don't want this creating
0.000000,0,0.000000,# a cycle in the code, if not
0.000000,0,0.000000,# needed
0.001549,202,0.000008,weaken($self->{'attribute'});
0.000000,0,0.000000,
0.001360,202,0.000007,$self->_initialize_body;
0.000000,0,0.000000,
0.001177,202,0.000006,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _new {
0.000399,259,0.000002,my $class = shift;
0.000000,0,0.000000,
0.000590,259,0.000002,return Class::MOP::Class->initialize($class)->new_object(@_)
0.000000,0,0.000000,if $class ne __PACKAGE__;
0.000000,0,0.000000,
0.000430,245,0.000002,my $params = @_ == 1 ? $_[0] : {@_};
0.000000,0,0.000000,
0.002632,245,0.000011,return bless {
0.000000,0,0.000000,# inherited from Class::MOP::Method
0.000000,0,0.000000,body                 => $params->{body},
0.000000,0,0.000000,associated_metaclass => $params->{associated_metaclass},
0.000000,0,0.000000,package_name         => $params->{package_name},
0.000000,0,0.000000,name                 => $params->{name},
0.000000,0,0.000000,original_method      => $params->{original_method},
0.000000,0,0.000000,
0.000000,0,0.000000,# inherit from Class::MOP::Generated
0.000000,0,0.000000,is_inline            => $params->{is_inline} || 0,
0.000000,0,0.000000,definition_context   => $params->{definition_context},
0.000000,0,0.000000,
