# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Class::MOP::Mixin::HasMethods;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Class::MOP::Mixin::HasMethods::AUTHORITY = 'cpan:STEVAN';
0.000031,1,0.000031,}
0.000000,0,0.000000,{
0.000005,2,0.000002,$Class::MOP::Mixin::HasMethods::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000033,2,0.000016,use strict;
0.000034,2,0.000017,use warnings;
0.000000,0,0.000000,
0.000118,2,0.000059,use Class::MOP::Method::Meta;
0.000105,2,0.000052,use Class::MOP::Method::Overload;
0.000000,0,0.000000,
0.000035,2,0.000018,use Scalar::Util 'blessed', 'reftype';
0.000034,2,0.000017,use Carp         'confess';
0.000036,2,0.000018,use Sub::Name    'subname';
0.000000,0,0.000000,
0.000030,2,0.000015,use overload ();
0.000000,0,0.000000,
0.001287,2,0.000643,use base 'Class::MOP::Mixin';
0.000000,0,0.000000,
0.000139,25,0.000006,sub _meta_method_class { 'Class::MOP::Method::Meta' }
0.000000,0,0.000000,
0.000000,0,0.000000,sub _add_meta_method {
0.000039,25,0.000002,my $self = shift;
0.000045,25,0.000002,my ($name) = @_;
0.000306,25,0.000012,my $existing_method = $self->can('find_method_by_name')
0.000000,0,0.000000,? $self->find_method_by_name($name)
0.000000,0,0.000000,: $self->get_method($name);
0.000072,25,0.000003,return if $existing_method
0.000000,0,0.000000,&& $existing_method->isa($self->_meta_method_class);
0.000623,25,0.000025,$self->add_method(
0.000000,0,0.000000,$name => $self->_meta_method_class->wrap(
0.000000,0,0.000000,name                 => $name,
0.000000,0,0.000000,package_name         => $self->name,
0.000000,0,0.000000,associated_metaclass => $self,
0.000000,0,0.000000,)
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub wrap_method_body {
0.000196,68,0.000003,my ( $self, %args ) = @_;
0.000000,0,0.000000,
0.000467,68,0.000007,( 'CODE' eq reftype $args{body} )
0.000000,0,0.000000,|| confess "Your code block must be a CODE reference";
0.000000,0,0.000000,
0.001349,68,0.000020,$self->method_metaclass->wrap(
0.000000,0,0.000000,package_name => $self->name,
0.000000,0,0.000000,%args,
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub add_method {
0.000709,397,0.000002,my ( $self, $method_name, $method ) = @_;
0.000662,397,0.000002,( defined $method_name && length $method_name )
0.000000,0,0.000000,|| confess "You must define a method name";
0.000000,0,0.000000,
0.002723,397,0.000007,my $package_name = $self->name;
0.000000,0,0.000000,
0.000560,397,0.000001,my $body;
0.005282,397,0.000013,if ( blessed($method) && $method->isa('Class::MOP::Method') ) {
0.002459,374,0.000007,$body = $method->body;
0.002448,374,0.000007,if ( $method->package_name ne $package_name ) {
0.000000,0,0.000000,$method = $method->clone(
0.000000,0,0.000000,package_name => $package_name,
0.000000,0,0.000000,name         => $method_name,
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.002005,374,0.000005,$method->attach_to_class($self);
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,# If a raw code reference is supplied, its method object is not created.
0.000000,0,0.000000,# The method object won't be created until required.
0.000035,23,0.000002,$body = $method;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.004227,397,0.000011,$self->_method_map->{$method_name} = $method;
0.000000,0,0.000000,
0.003072,397,0.000008,my ($current_package, $current_name) = Class::MOP::get_code_info($body);
0.000000,0,0.000000,
