# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package DBD::SQLite;
0.000000,0,0.000000,
0.000051,2,0.000025,use 5.006;
0.000035,2,0.000017,use strict;
0.000049,3,0.000016,use DBI   1.57 ();
0.000078,2,0.000039,use DynaLoader ();
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '1.39';
0.000007,1,0.000007,our @ISA     = 'DynaLoader';
0.000000,0,0.000000,
0.000000,0,0.000000,# sqlite_version cache (set in the XS bootstrap)
0.000002,1,0.000002,our ($sqlite_version, $sqlite_version_number);
0.000000,0,0.000000,
0.000000,0,0.000000,# not sure if we still need these...
0.000001,1,0.000001,our ($err, $errstr);
0.000000,0,0.000000,
0.000011,1,0.000011,__PACKAGE__->bootstrap($VERSION);
0.000000,0,0.000000,
0.000000,0,0.000000,# New or old API?
0.000083,2,0.000042,use constant NEWAPI => ($DBI::VERSION >= 1.608);
0.000000,0,0.000000,
0.000000,0,0.000000,# global registry of collation functions, initialized with 2 builtins
0.000002,1,0.000002,our %COLLATION;
0.000008,1,0.000008,tie %COLLATION, 'DBD::SQLite::_WriteOnceHash';
0.000010,1,0.000010,$COLLATION{perl}       = sub { $_[0] cmp $_[1] };
0.000887,3,0.000296,$COLLATION{perllocale} = sub { use locale; $_[0] cmp $_[1] };
0.000000,0,0.000000,
0.000001,1,0.000001,our $drh;
0.000002,1,0.000002,my $methods_are_installed = 0;
0.000000,0,0.000000,
0.000000,0,0.000000,sub driver {
0.000002,1,0.000002,return $drh if $drh;
0.000000,0,0.000000,
0.000004,1,0.000004,if (!$methods_are_installed && DBD::SQLite::NEWAPI ) {
0.000005,1,0.000005,DBI->setup_driver('DBD::SQLite');
0.000000,0,0.000000,
0.000011,1,0.000011,DBD::SQLite::db->install_method('sqlite_last_insert_rowid');
0.000006,1,0.000006,DBD::SQLite::db->install_method('sqlite_busy_timeout');
0.000005,1,0.000005,DBD::SQLite::db->install_method('sqlite_create_function');
0.000005,1,0.000005,DBD::SQLite::db->install_method('sqlite_create_aggregate');
0.000005,1,0.000005,DBD::SQLite::db->install_method('sqlite_create_collation');
0.000005,1,0.000005,DBD::SQLite::db->install_method('sqlite_collation_needed');
0.000005,1,0.000005,DBD::SQLite::db->install_method('sqlite_progress_handler');
0.000005,1,0.000005,DBD::SQLite::db->install_method('sqlite_commit_hook');
0.000006,1,0.000006,DBD::SQLite::db->install_method('sqlite_rollback_hook');
0.000006,1,0.000006,DBD::SQLite::db->install_method('sqlite_update_hook');
0.000006,1,0.000006,DBD::SQLite::db->install_method('sqlite_set_authorizer');
0.000005,1,0.000005,DBD::SQLite::db->install_method('sqlite_backup_from_file');
0.000005,1,0.000005,DBD::SQLite::db->install_method('sqlite_backup_to_file');
