# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Data::Dump;
0.000000,0,0.000000,
0.000037,2,0.000018,use strict;
0.000040,2,0.000020,use vars qw(@EXPORT @EXPORT_OK $VERSION $DEBUG);
0.000303,2,0.000152,use subs qq(dump);
0.000000,0,0.000000,
0.000002,1,0.000002,require Exporter;
0.000003,1,0.000003,*import = \&Exporter::import;
0.000003,1,0.000003,@EXPORT = qw(dd ddx);
0.000002,1,0.000002,@EXPORT_OK = qw(dump pp dumpf quote);
0.000000,0,0.000000,
0.000002,1,0.000002,$VERSION = "1.22";
0.000001,1,0.000001,$DEBUG = 0;
0.000000,0,0.000000,
0.000033,2,0.000017,use overload ();
0.001181,2,0.000590,use vars qw(%seen %refcnt @dump @fixup %require $TRY_BASE64 @FILTERS $INDENT);
0.000000,0,0.000000,
0.000002,1,0.000002,$TRY_BASE64 = 50 unless defined $TRY_BASE64;
0.000001,1,0.000001,$INDENT = "  " unless defined $INDENT;
0.000000,0,0.000000,
0.000000,0,0.000000,sub dump
0.000000,0,0.000000,{
0.000002,1,0.000002,local %seen;
0.000002,1,0.000002,local %refcnt;
0.000002,1,0.000002,local %require;
0.000002,1,0.000002,local @fixup;
0.000000,0,0.000000,
0.000002,1,0.000002,require Data::Dump::FilterContext if @FILTERS;
0.000000,0,0.000000,
0.000002,1,0.000002,my $name = "a";
0.000002,1,0.000002,my @dump;
0.000000,0,0.000000,
0.000007,1,0.000007,for my $v (@_) {
0.000007,1,0.000007,my $val = _dump($v, $name, [], tied($v));
0.000003,1,0.000003,push(@dump, [$name, $val]);
0.000000,0,0.000000,} continue {
0.000000,0,0.000000,$name++;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000002,1,0.000002,my $out = "";
0.000002,1,0.000002,if (%require) {
0.000000,0,0.000000,for (sort keys %require) {
0.000000,0,0.000000,$out .= "require $_;\n";
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000002,1,0.000002,if (%refcnt) {
0.000000,0,0.000000,# output all those with refcounts first
0.000000,0,0.000000,for (@dump) {
0.000000,0,0.000000,my $name = $_->[0];
0.000000,0,0.000000,if ($refcnt{$name}) {
0.000000,0,0.000000,$out .= "my \$$name = $_->[1];\n";
0.000000,0,0.000000,undef $_->[1];
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,for (@fixup) {
0.000000,0,0.000000,$out .= "$_;\n";
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000002,1,0.000002,my $paren = (@dump != 1);
0.000002,1,0.000002,$out .= "(" if $paren;
0.000000,0,0.000000,$out .= format_list($paren, undef,
0.000009,1,0.000009,map {defined($_->[1]) ? $_->[1] : "\$".$_->[0]}
0.000000,0,0.000000,@dump
0.000000,0,0.000000,);
0.000002,1,0.000002,$out .= ")" if $paren;
0.000000,0,0.000000,
0.000002,1,0.000002,if (%refcnt || %require) {
0.000000,0,0.000000,$out .= ";\n";
0.000000,0,0.000000,$out =~ s/^/$INDENT/gm;
0.000000,0,0.000000,$out = "do {\n$out}";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000002,1,0.000002,print STDERR "$out\n" unless defined wantarray;
0.000008,1,0.000008,$out;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000002,1,0.000002,*pp = \&dump;
0.000000,0,0.000000,
0.000000,0,0.000000,sub dd {
0.000000,0,0.000000,print dump(@_), "\n";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub ddx {
0.000000,0,0.000000,my(undef, $file, $line) = caller;
0.000000,0,0.000000,$file =~ s,.*[\\/],,;
0.000000,0,0.000000,my $out = "$file:$line: " . dump(@_) . "\n";
0.000000,0,0.000000,$out =~ s/^/# /gm;
0.000000,0,0.000000,print $out;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub dumpf {
0.000000,0,0.000000,require Data::Dump::Filtered;
0.000000,0,0.000000,goto &Data::Dump::Filtered::dump_filtered;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _dump
0.000000,0,0.000000,{
0.000002,1,0.000002,my $ref  = ref $_[0];
0.000002,1,0.000002,my $rval = $ref ? $_[0] : \$_[0];
0.000002,1,0.000002,shift;
0.000000,0,0.000000,
0.000002,1,0.000002,my($name, $idx, $dont_remember, $pclass, $pidx) = @_;
0.000000,0,0.000000,
0.000001,1,0.000001,my($class, $type, $id);
0.000006,1,0.000006,my $strval = overload::StrVal($rval);
0.000000,0,0.000000,# Parse $strval without using regexps, in order not to clobber $1, $2,...
0.000004,1,0.000004,if ((my $i = rindex($strval, "=")) >= 0) {
0.000002,1,0.000002,$class = substr($strval, 0, $i);
0.000002,1,0.000002,$strval = substr($strval, $i+1);
0.000000,0,0.000000,}
0.000004,1,0.000004,if ((my $i = index($strval, "(0x")) >= 0) {
0.000002,1,0.000002,$type = substr($strval, 0, $i);
0.000002,1,0.000002,$id = substr($strval, $i + 2, -1);
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,die "Can't parse " . overload::StrVal($rval);
0.000000,0,0.000000,}
0.000003,1,0.000003,if ($] < 5.008 && $type eq "SCALAR") {
0.000000,0,0.000000,$type = "REF" if $ref eq "REF";
0.000000,0,0.000000,}
0.000002,1,0.000002,warn "\$$name(@$idx) $class $type $id ($ref)" if $DEBUG;
0.000000,0,0.000000,
0.000002,1,0.000002,my $out;
0.000001,1,0.000001,my $comment;
0.000001,1,0.000001,my $hide_keys;
0.000002,1,0.000002,if (@FILTERS) {
0.000000,0,0.000000,my $pself = "";
0.000000,0,0.000000,$pself = fullname("self", [@$idx[$pidx..(@$idx - 1)]]) if $pclass;
0.000000,0,0.000000,my $ctx = Data::Dump::FilterContext->new($rval, $class, $type, $ref, $pclass, $pidx, $idx);
0.000000,0,0.000000,my @bless;
0.000000,0,0.000000,for my $filter (@FILTERS) {
0.000000,0,0.000000,if (my $f = $filter->($ctx, $rval)) {
0.000000,0,0.000000,if (my $v = $f->{object}) {
0.000000,0,0.000000,local @FILTERS;
0.000000,0,0.000000,$out = _dump($v, $name, $idx, 1);
0.000000,0,0.000000,$dont_remember++;
0.000000,0,0.000000,}
0.000000,0,0.000000,if (defined(my $c = $f->{bless})) {
0.000000,0,0.000000,push(@bless, $c);
0.000000,0,0.000000,}
0.000000,0,0.000000,if (my $c = $f->{comment}) {
0.000000,0,0.000000,$comment = $c;
0.000000,0,0.000000,}
0.000000,0,0.000000,if (defined(my $c = $f->{dump})) {
0.000000,0,0.000000,$out = $c;
0.000000,0,0.000000,$dont_remember++;
0.000000,0,0.000000,}
0.000000,0,0.000000,if (my $h = $f->{hide_keys}) {
0.000000,0,0.000000,if (ref($h) eq "ARRAY") {
0.000000,0,0.000000,$hide_keys = sub {
0.000000,0,0.000000,for my $k (@$h) {
0.000000,0,0.000000,return 1 if $k eq $_[0];
0.000000,0,0.000000,}
