# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package DateTime::Duration;
0.000000,0,0.000000,{
0.000005,2,0.000003,$DateTime::Duration::VERSION = '1.03';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000033,2,0.000016,use strict;
0.000032,2,0.000016,use warnings;
0.000000,0,0.000000,
0.000027,2,0.000014,use Carp ();
0.000032,2,0.000016,use DateTime;
0.000117,2,0.000058,use DateTime::Helpers;
0.000144,2,0.000072,use Params::Validate qw( validate SCALAR );
0.000000,0,0.000000,
0.000000,0,0.000000,use overload (
0.000012,1,0.000012,fallback => 1,
0.000000,0,0.000000,'+'      => '_add_overload',
0.000000,0,0.000000,'-'      => '_subtract_overload',
0.000000,0,0.000000,'*'      => '_multiply_overload',
0.000000,0,0.000000,'<=>'    => '_compare_overload',
0.000000,0,0.000000,'cmp'    => '_compare_overload',
0.000028,1,0.000028,);
0.000000,0,0.000000,
0.001493,2,0.000746,use constant MAX_NANOSECONDS => 1_000_000_000;    # 1E9 = almost 32 bits
0.000000,0,0.000000,
0.000003,1,0.000003,my @all_units = qw( months days minutes seconds nanoseconds );
0.000000,0,0.000000,
0.000000,0,0.000000,# XXX - need to reject non-integers but accept infinity, NaN, &
0.000000,0,0.000000,# 1.56e+18
0.000000,0,0.000000,sub new {
0.000000,0,0.000000,my $class = shift;
0.000000,0,0.000000,my %p     = validate(
0.000000,0,0.000000,@_, {
0.000000,0,0.000000,years        => { type => SCALAR, default => 0 },
0.000000,0,0.000000,months       => { type => SCALAR, default => 0 },
0.000000,0,0.000000,weeks        => { type => SCALAR, default => 0 },
0.000000,0,0.000000,days         => { type => SCALAR, default => 0 },
0.000000,0,0.000000,hours        => { type => SCALAR, default => 0 },
0.000000,0,0.000000,minutes      => { type => SCALAR, default => 0 },
0.000000,0,0.000000,seconds      => { type => SCALAR, default => 0 },
0.000000,0,0.000000,nanoseconds  => { type => SCALAR, default => 0 },
0.000000,0,0.000000,end_of_month => {
0.000000,0,0.000000,type  => SCALAR, default => undef,
0.000000,0,0.000000,regex => qr/^(?:wrap|limit|preserve)$/
0.000000,0,0.000000,},
0.000000,0,0.000000,}
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,my $self = bless {}, $class;
0.000000,0,0.000000,
0.000000,0,0.000000,$self->{months} = ( $p{years} * 12 ) + $p{months};
0.000000,0,0.000000,
0.000000,0,0.000000,$self->{days} = ( $p{weeks} * 7 ) + $p{days};
0.000000,0,0.000000,
0.000000,0,0.000000,$self->{minutes} = ( $p{hours} * 60 ) + $p{minutes};
0.000000,0,0.000000,
0.000000,0,0.000000,$self->{seconds} = $p{seconds};
0.000000,0,0.000000,
0.000000,0,0.000000,if ( $p{nanoseconds} ) {
0.000000,0,0.000000,$self->{nanoseconds} = $p{nanoseconds};
0.000000,0,0.000000,$self->_normalize_nanoseconds;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,
0.000000,0,0.000000,# shortcut - if they don't need nanoseconds
0.000000,0,0.000000,$self->{nanoseconds} = 0;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,$self->{end_of_month} = (
0.000000,0,0.000000,defined $p{end_of_month} ? $p{end_of_month}
0.000000,0,0.000000,: $self->{months} < 0      ? 'preserve'
0.000000,0,0.000000,: 'wrap'
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
