# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package DateTime::Locale::Base;
0.000000,0,0.000000,
0.000036,2,0.000018,use strict;
0.000034,2,0.000017,use warnings;
0.000000,0,0.000000,
0.000033,2,0.000016,use Carp qw( carp );
0.000034,2,0.000017,use DateTime::Locale;
0.000113,2,0.000056,use List::MoreUtils ();
0.000083,2,0.000042,use Params::Validate qw( validate_pos );
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,foreach my $field (
0.000000,0,0.000000,qw( id en_complete_name native_complete_name
0.000000,0,0.000000,en_language en_script en_territory en_variant
0.000000,0,0.000000,native_language native_script native_territory native_variant
0.000000,0,0.000000,)
0.000000,0,0.000000,) {
0.000000,0,0.000000,
0.000000,0,0.000000,# remove leading 'en_' for method name
0.000076,11,0.000007,( my $meth_name = $field ) =~ s/^en_//;
0.000000,0,0.000000,
0.000000,0,0.000000,# also remove 'complete_'
0.000061,11,0.000006,$meth_name =~ s/complete_//;
0.000000,0,0.000000,
0.000058,2,0.000029,no strict 'refs';
0.000068,11,0.000006,*{$meth_name} = sub { $_[0]->{$field} };
0.000000,0,0.000000,}
0.000429,1,0.000429,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000002,1,0.000002,my $class = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,# By making the default format lengths part of the object's hash
0.000000,0,0.000000,# key, it allows them to be settable.
0.000027,1,0.000027,return bless {
0.000000,0,0.000000,@_,
0.000000,0,0.000000,default_date_format_length => $class->_default_date_format_length(),
0.000000,0,0.000000,default_time_format_length => $class->_default_time_format_length(),
0.000000,0,0.000000,}, $class;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub language_id  { ( DateTime::Locale::_parse_id( $_[0]->id ) )[0] }
0.000000,0,0.000000,sub script_id    { ( DateTime::Locale::_parse_id( $_[0]->id ) )[1] }
0.000000,0,0.000000,sub territory_id { ( DateTime::Locale::_parse_id( $_[0]->id ) )[2] }
0.000000,0,0.000000,sub variant_id   { ( DateTime::Locale::_parse_id( $_[0]->id ) )[3] }
0.000000,0,0.000000,
0.000003,1,0.000003,my @FormatLengths = qw( short medium long full );
0.000000,0,0.000000,
0.000000,0,0.000000,sub date_format_default {
0.000000,0,0.000000,my $meth = 'date_format_' . $_[0]->default_date_format_length();
0.000000,0,0.000000,$_[0]->$meth();
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub date_formats {
0.000000,0,0.000000,return {
0.000000,0,0.000000,map {
0.000000,0,0.000000,my $meth = 'date_format_' . $_;
0.000000,0,0.000000,$_ => $_[0]->$meth()
0.000000,0,0.000000,} @FormatLengths
0.000000,0,0.000000,};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub time_format_default {
0.000000,0,0.000000,my $meth = 'time_format_' . $_[0]->default_time_format_length();
0.000000,0,0.000000,$_[0]->$meth();
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub time_formats {
0.000000,0,0.000000,return {
0.000000,0,0.000000,map {
0.000000,0,0.000000,my $meth = 'time_format_' . $_;
0.000000,0,0.000000,$_ => $_[0]->$meth()
0.000000,0,0.000000,} @FormatLengths
0.000000,0,0.000000,};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub format_for {
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,my $for  = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,my $meth = '_format_for_' . $for;
0.000000,0,0.000000,
0.000000,0,0.000000,return unless $self->can($meth);
0.000000,0,0.000000,
0.000000,0,0.000000,return $self->$meth();
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub available_formats {
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,# The various parens seem to be necessary to force uniq() to see
0.000000,0,0.000000,# the caller's list context. Go figure.
0.000000,0,0.000000,my @uniq
0.000000,0,0.000000,= List::MoreUtils::uniq(
0.000000,0,0.000000,map { keys %{ $_->_available_formats() || {} } }
0.000000,0,0.000000,_self_and_super_path( ref $self ) );
0.000000,0,0.000000,
0.000000,0,0.000000,# Doing the sort in the same expression doesn't work under 5.6.x.
0.000000,0,0.000000,return sort @uniq;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# Copied wholesale from Class::ISA, because said module warns as deprecated
0.000000,0,0.000000,# with perl 5.11.0+, which is kind of annoying.
0.000000,0,0.000000,sub _self_and_super_path {
0.000000,0,0.000000,# Assumption: searching is depth-first.
0.000000,0,0.000000,# Assumption: '' (empty string) can't be a class package name.
0.000000,0,0.000000,# Note: 'UNIVERSAL' is not given any special treatment.
0.000000,0,0.000000,return () unless @_;
0.000000,0,0.000000,
0.000000,0,0.000000,my @out = ();
0.000000,0,0.000000,
0.000000,0,0.000000,my @in_stack = ($_[0]);
0.000000,0,0.000000,my %seen = ($_[0] => 1);
0.000000,0,0.000000,
0.000000,0,0.000000,my $current;
0.000000,0,0.000000,while(@in_stack) {
0.000000,0,0.000000,next unless defined($current = shift @in_stack) && length($current);
0.000000,0,0.000000,push @out, $current;
0.000333,2,0.000167,no strict 'refs';
