# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package DateTime::Locale;
0.000000,0,0.000000,
0.000032,2,0.000016,use strict;
0.000031,2,0.000015,use warnings;
0.000000,0,0.000000,
0.000053,2,0.000026,use 5.006;
0.000000,0,0.000000,
0.000000,0,0.000000,# Loading this here isn't necessary, but it makes it easier to catch
0.000000,0,0.000000,# syntax errors when testing.
0.000111,2,0.000056,use DateTime::Locale::Base;
0.000242,2,0.000121,use DateTime::Locale::Catalog;
0.000532,2,0.000266,use Params::Validate qw( validate validate_pos SCALAR );
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '0.45';
0.000000,0,0.000000,
0.000001,1,0.000001,my %Class;
0.000001,1,0.000001,my %DataForID;
0.000001,1,0.000001,my %NameToID;
0.000001,1,0.000001,my %NativeNameToID;
0.000001,1,0.000001,my %AliasToID;
0.000001,1,0.000001,my %IDToExtra;
0.000000,0,0.000000,
0.000001,1,0.000001,my %LoadCache;
0.000000,0,0.000000,
0.000000,0,0.000000,sub register {
0.000002,1,0.000002,my $class = shift;
0.000000,0,0.000000,
0.000002,1,0.000002,%LoadCache = ();
0.000000,0,0.000000,
0.003152,1,0.003152,if ( ref $_[0] ) {
0.000000,0,0.000000,$class->_register(%$_) foreach @_;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,$class->_register(@_);
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _register {
0.000717,466,0.000002,my $class = shift;
0.000000,0,0.000000,
0.018951,466,0.000041,my %p = validate(
0.000000,0,0.000000,@_, {
0.000000,0,0.000000,id => { type => SCALAR },
0.000000,0,0.000000,
0.000000,0,0.000000,en_language  => { type => SCALAR },
0.000000,0,0.000000,en_script    => { type => SCALAR, optional => 1 },
0.000000,0,0.000000,en_territory => { type => SCALAR, optional => 1 },
0.000000,0,0.000000,en_variant   => { type => SCALAR, optional => 1 },
0.000000,0,0.000000,
0.000000,0,0.000000,native_language  => { type => SCALAR, optional => 1 },
0.000000,0,0.000000,native_script    => { type => SCALAR, optional => 1 },
0.000000,0,0.000000,native_territory => { type => SCALAR, optional => 1 },
0.000000,0,0.000000,native_variant   => { type => SCALAR, optional => 1 },
0.000000,0,0.000000,
0.000000,0,0.000000,class   => { type => SCALAR, optional => 1 },
0.000000,0,0.000000,replace => { type => SCALAR, default  => 0 },
0.000000,0,0.000000,}
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000792,466,0.000002,my $id = $p{id};
0.000000,0,0.000000,
0.003015,466,0.000006,die "'\@' or '=' are not allowed in locale ids"
0.000000,0,0.000000,if $id =~ /[\@=]/;
0.000000,0,0.000000,
0.000964,466,0.000002,die
0.000000,0,0.000000,"You cannot replace an existing locale ('$id') unless you also specify the 'replace' parameter as true\n"
0.000000,0,0.000000,if !delete $p{replace} && exists $DataForID{$id};
0.000000,0,0.000000,
0.000741,466,0.000002,$p{native_language} = $p{en_language}
0.000000,0,0.000000,unless exists $p{native_language};
0.000000,0,0.000000,
0.000640,466,0.000001,my @en_pieces;
0.000614,466,0.000001,my @native_pieces;
0.001458,466,0.000003,foreach my $p (qw( language script territory variant )) {
0.003381,1864,0.000002,push @en_pieces,     $p{"en_$p"}     if exists $p{"en_$p"};
0.014108,1864,0.000008,push @native_pieces, $p{"native_$p"} if exists $p{"native_$p"};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000945,466,0.000002,$p{en_complete_name}     = join ' ', @en_pieces;
0.000853,466,0.000002,$p{native_complete_name} = join ' ', @native_pieces;
