# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package DateTime;
0.000000,0,0.000000,{
0.000005,2,0.000003,$DateTime::VERSION = '1.03';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000052,2,0.000026,use 5.008001;
0.000000,0,0.000000,
0.000032,2,0.000016,use strict;
0.000164,2,0.000082,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,{
0.000004,2,0.000002,my $loaded = 0;
0.000000,0,0.000000,
0.000004,1,0.000004,unless ( $ENV{PERL_DATETIME_PP} ) {
0.000002,1,0.000002,local $@;
0.000003,1,0.000003,eval {
0.000002,1,0.000002,require XSLoader;
0.000000,0,0.000000,XSLoader::load(
0.000000,0,0.000000,__PACKAGE__,
0.000000,0,0.000000,exists $DateTime::{VERSION} && ${ $DateTime::{VERSION} }
0.000224,1,0.000224,? ${ $DateTime::{VERSION} }
0.000000,0,0.000000,: 42
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000002,1,0.000002,$DateTime::IsPurePerl = 0;
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000001,1,0.000001,die $@ if $@ && $@ !~ /object version|loadable object/;
0.000000,0,0.000000,
0.000002,1,0.000002,$loaded = 1 unless $@;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000002,1,0.000002,if ($loaded) {
0.000000,0,0.000000,require DateTimePPExtra
0.000000,0,0.000000,unless defined &DateTime::_normalize_tai_seconds;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,require DateTimePP;
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000036,2,0.000018,use Carp;
0.000127,2,0.000063,use DateTime::Duration;
0.000032,2,0.000016,use DateTime::Helpers;
0.000145,3,0.000048,use DateTime::Locale 0.41;
0.000167,3,0.000056,use DateTime::TimeZone 1.09;
0.000000,0,0.000000,use Params::Validate 0.76
0.000054,3,0.000018,qw( validate validate_pos UNDEF SCALAR BOOLEAN HASHREF OBJECT );
0.000041,2,0.000020,use POSIX qw(floor);
0.000058,2,0.000029,use Try::Tiny;
0.000000,0,0.000000,
0.000000,0,0.000000,# for some reason, overloading doesn't work unless fallback is listed
0.000000,0,0.000000,# early.
0.000000,0,0.000000,#
0.000000,0,0.000000,# 3rd parameter ( $_[2] ) means the parameters are 'reversed'.
0.000000,0,0.000000,# see: "Calling conventions for binary operations" in overload docs.
0.000000,0,0.000000,#
0.000000,0,0.000000,use overload (
0.000011,1,0.000011,'fallback' => 1,
0.000000,0,0.000000,'<=>'      => '_compare_overload',
0.000000,0,0.000000,'cmp'      => '_string_compare_overload',
0.000000,0,0.000000,'""'       => '_stringify',
0.000000,0,0.000000,'-'        => '_subtract_overload',
0.000000,0,0.000000,'+'        => '_add_overload',
0.000000,0,0.000000,'eq'       => '_string_equals_overload',
0.000000,0,0.000000,'ne'       => '_string_not_equals_overload',
0.000034,1,0.000034,);
0.000000,0,0.000000,
0.000000,0,0.000000,# Have to load this after overloading is defined, after BEGIN blocks
0.000000,0,0.000000,# or else weird crashes ensue
0.000091,1,0.000091,require DateTime::Infinite;
0.000000,0,0.000000,
0.000042,2,0.000021,use constant MAX_NANOSECONDS => 1_000_000_000;    # 1E9 = almost 32 bits
0.000000,0,0.000000,
0.000042,2,0.000021,use constant INFINITY     => ( 9**9**9 );
0.000041,2,0.000020,use constant NEG_INFINITY => -1 * ( 9**9**9 );
0.000036,2,0.000018,use constant NAN          => INFINITY - INFINITY;
0.000000,0,0.000000,
0.000038,2,0.000019,use constant SECONDS_PER_DAY => 86400;
0.000000,0,0.000000,
0.000056,2,0.000028,use constant duration_class => 'DateTime::Duration';
0.000000,0,0.000000,
0.000002,1,0.000002,my ( @MonthLengths, @LeapYearMonthLengths );
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000003,1,0.000003,@MonthLengths = ( 31, 28, 31, 30, 31, 30, 31, 31, 30, 31, 30, 31 );
0.000000,0,0.000000,
0.000002,1,0.000002,@LeapYearMonthLengths = @MonthLengths;
0.000007,1,0.000007,$LeapYearMonthLengths[1]++;
0.002912,1,0.002912,}
0.000000,0,0.000000,
0.000000,0,0.000000,{
0.000000,0,0.000000,
0.000000,0,0.000000,# I'd rather use Class::Data::Inheritable for this, but there's no
0.000000,0,0.000000,# way to add the module-loading behavior to an accessor it
0.000000,0,0.000000,# creates, despite what its docs say!
0.000005,2,0.000002,my $DefaultLocale;
0.000000,0,0.000000,
0.000000,0,0.000000,sub DefaultLocale {
0.000002,1,0.000002,my $class = shift;
0.000000,0,0.000000,
0.000004,1,0.000004,if (@_) {
0.000002,1,0.000002,my $lang = shift;
0.000000,0,0.000000,
0.000006,1,0.000006,DateTime::Locale->load($lang);
0.000000,0,0.000000,
0.000002,1,0.000002,$DefaultLocale = $lang;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000007,1,0.000007,return $DefaultLocale;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# backwards compat
0.000006,1,0.000006,*DefaultLanguage = \&DefaultLocale;
0.000000,0,0.000000,}
0.000006,1,0.000006,__PACKAGE__->DefaultLocale('en_US');
0.000000,0,0.000000,
0.000000,0,0.000000,my $BasicValidate = {
0.000000,0,0.000000,year => {
0.000000,0,0.000000,type      => SCALAR,
0.000000,0,0.000000,callbacks => {
0.000000,0,0.000000,'is an integer' => sub { $_[0] =~ /^-?\d+$/ }
0.000000,0,0.000000,},
0.000000,0,0.000000,},
0.000000,0,0.000000,month => {
0.000000,0,0.000000,type      => SCALAR,
0.000000,0,0.000000,default   => 1,
0.000000,0,0.000000,callbacks => {
0.000000,0,0.000000,'an integer between 1 and 12' =>
0.000000,0,0.000000,sub { $_[0] =~ /^\d+$/ && $_[0] >= 1 && $_[0] <= 12 }
0.000000,0,0.000000,},
0.000000,0,0.000000,},
0.000000,0,0.000000,day => {
0.000000,0,0.000000,type      => SCALAR,
0.000000,0,0.000000,default   => 1,
0.000000,0,0.000000,callbacks => {
0.000000,0,0.000000,'an integer which is a possible valid day of month' =>
0.000000,0,0.000000,sub { $_[0] =~ /^\d+$/ && $_[0] >= 1 && $_[0] <= 31 }
0.000000,0,0.000000,},
0.000000,0,0.000000,},
0.000000,0,0.000000,hour => {
0.000000,0,0.000000,type      => SCALAR,
0.000000,0,0.000000,default   => 0,
0.000000,0,0.000000,callbacks => {
0.000000,0,0.000000,'an integer between 0 and 23' =>
0.000000,0,0.000000,sub { $_[0] =~ /^\d+$/ && $_[0] >= 0 && $_[0] <= 23 },
0.000000,0,0.000000,},
0.000000,0,0.000000,},
0.000000,0,0.000000,minute => {
0.000000,0,0.000000,type      => SCALAR,
0.000000,0,0.000000,default   => 0,
0.000000,0,0.000000,callbacks => {
0.000000,0,0.000000,'an integer between 0 and 59' =>
0.000000,0,0.000000,sub { $_[0] =~ /^\d+$/ && $_[0] >= 0 && $_[0] <= 59 },
0.000000,0,0.000000,},
0.000000,0,0.000000,},
0.000000,0,0.000000,second => {
0.000000,0,0.000000,type      => SCALAR,
0.000000,0,0.000000,default   => 0,
0.000000,0,0.000000,callbacks => {
0.000000,0,0.000000,'an integer between 0 and 61' =>
0.000000,0,0.000000,sub { $_[0] =~ /^\d+$/ && $_[0] >= 0 && $_[0] <= 61 },
0.000000,0,0.000000,},
0.000000,0,0.000000,},
0.000000,0,0.000000,nanosecond => {
0.000000,0,0.000000,type      => SCALAR,
0.000000,0,0.000000,default   => 0,
0.000000,0,0.000000,callbacks => {
0.000000,0,0.000000,'a positive integer' => sub { $_[0] =~ /^\d+$/ && $_[0] >= 0 },
0.000000,0,0.000000,}
0.000000,0,0.000000,},
0.000000,0,0.000000,locale => {
0.000000,0,0.000000,type    => SCALAR | OBJECT,
0.000000,0,0.000000,default => undef
0.000000,0,0.000000,},
0.000000,0,0.000000,language => {
0.000000,0,0.000000,type     => SCALAR | OBJECT,
0.000000,0,0.000000,optional => 1
0.000000,0,0.000000,},
0.000000,0,0.000000,formatter => {
0.000000,0,0.000000,type      => UNDEF | SCALAR | OBJECT,
0.000000,0,0.000000,optional  => 1,
0.000000,0,0.000000,callbacks => {
0.000000,0,0.000000,'can format_datetime' =>
