# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,# Generated from DynaLoader_pm.PL
0.000000,0,0.000000,
0.000000,0,0.000000,package DynaLoader;
0.000000,0,0.000000,
0.000000,0,0.000000,#   And Gandalf said: 'Many folk like to know beforehand what is to
0.000000,0,0.000000,#   be set on the table; but those who have laboured to prepare the
0.000000,0,0.000000,#   feast like to keep their secret; for wonder makes the words of
0.000000,0,0.000000,#   praise louder.'
0.000000,0,0.000000,
0.000000,0,0.000000,#   (Quote from Tolkien suggested by Anno Siegel.)
0.000000,0,0.000000,#
0.000000,0,0.000000,# See pod text at end of file for documentation.
0.000000,0,0.000000,# See also ext/DynaLoader/README in source tree for other information.
0.000000,0,0.000000,#
0.000000,0,0.000000,# Tim.Bunce@ig.co.uk, August 1994
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000007,1,0.000007,$VERSION = '1.18';
0.000021,1,0.000021,}
0.000000,0,0.000000,
0.001423,2,0.000712,use Config;
0.000000,0,0.000000,
0.000000,0,0.000000,# enable debug/trace messages from DynaLoader perl code
0.000002,1,0.000002,$dl_debug = $ENV{PERL_DL_DEBUG} || 0 unless defined $dl_debug;
0.000000,0,0.000000,
0.000000,0,0.000000,#
0.000000,0,0.000000,# Flags to alter dl_load_file behaviour.  Assigned bits:
0.000000,0,0.000000,#   0x01  make symbols available for linking later dl_load_file's.
0.000000,0,0.000000,#         (only known to work on Solaris 2 using dlopen(RTLD_GLOBAL))
0.000000,0,0.000000,#         (ignored under VMS; effect is built-in to image linking)
0.000000,0,0.000000,#
0.000000,0,0.000000,# This is called as a class method $module->dl_load_flags.  The
0.000000,0,0.000000,# definition here will be inherited and result on "default" loading
0.000000,0,0.000000,# behaviour unless a sub-class of DynaLoader defines its own version.
0.000000,0,0.000000,#
0.000000,0,0.000000,
0.000042,8,0.000005,sub dl_load_flags { 0x00 }
0.000000,0,0.000000,
