# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,#
0.000000,0,0.000000,# $Id: Encode.pm,v 2.49 2013/03/05 03:13:47 dankogai Exp dankogai $
0.000000,0,0.000000,#
0.000000,0,0.000000,package Encode;
0.000032,2,0.000016,use strict;
0.000072,2,0.000036,use warnings;
0.000018,1,0.000018,our $VERSION = sprintf "%d.%02d", q$Revision: 2.49 $ =~ /(\d+)/g;
0.000042,2,0.000021,use constant DEBUG => !!$ENV{PERL_ENCODE_DEBUG};
0.000044,2,0.000022,use XSLoader ();
0.000248,1,0.000248,XSLoader::load( __PACKAGE__, $VERSION );
0.000000,0,0.000000,
0.000002,1,0.000002,require Exporter;
0.000295,2,0.000148,use base qw/Exporter/;
0.000000,0,0.000000,
0.000000,0,0.000000,# Public, encouraged API is exported by default
0.000000,0,0.000000,
0.000003,1,0.000003,our @EXPORT = qw(
0.000000,0,0.000000,decode  decode_utf8  encode  encode_utf8 str2bytes bytes2str
0.000000,0,0.000000,encodings  find_encoding clone_encoding
0.000000,0,0.000000,);
0.000003,1,0.000003,our @FB_FLAGS = qw(
0.000000,0,0.000000,DIE_ON_ERR WARN_ON_ERR RETURN_ON_ERR LEAVE_SRC
0.000000,0,0.000000,PERLQQ HTMLCREF XMLCREF STOP_AT_PARTIAL
0.000000,0,0.000000,);
0.000003,1,0.000003,our @FB_CONSTS = qw(
0.000000,0,0.000000,FB_DEFAULT FB_CROAK FB_QUIET FB_WARN
0.000000,0,0.000000,FB_PERLQQ FB_HTMLCREF FB_XMLCREF
0.000000,0,0.000000,);
0.000005,1,0.000005,our @EXPORT_OK = (
0.000000,0,0.000000,qw(
0.000000,0,0.000000,_utf8_off _utf8_on define_encoding from_to is_16bit is_8bit
0.000000,0,0.000000,is_utf8 perlio_ok resolve_alias utf8_downgrade utf8_upgrade
0.000000,0,0.000000,),
0.000000,0,0.000000,@FB_FLAGS, @FB_CONSTS,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000013,1,0.000013,our %EXPORT_TAGS = (
0.000000,0,0.000000,all          => [ @EXPORT,    @EXPORT_OK ],
0.000000,0,0.000000,default      => [ @EXPORT ],
0.000000,0,0.000000,fallbacks    => [ @FB_CONSTS ],
0.000000,0,0.000000,fallback_all => [ @FB_CONSTS, @FB_FLAGS ],
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,# Documentation moved after __END__ for speed - NI-S
0.000000,0,0.000000,
0.000002,1,0.000002,our $ON_EBCDIC = ( ord("A") == 193 );
0.000000,0,0.000000,
0.001309,2,0.000654,use Encode::Alias;
0.000000,0,0.000000,
