# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Fatal;
0.000000,0,0.000000,
0.000000,0,0.000000,# ABSTRACT: Replace functions with equivalents which succeed or die
0.000000,0,0.000000,
0.000064,2,0.000032,use 5.008;  # 5.8.x needed for autodie
0.000032,2,0.000016,use Carp;
0.000030,2,0.000015,use strict;
0.000030,2,0.000015,use warnings;
0.000221,2,0.000110,use Tie::RefHash;   # To cache subroutine refs
0.000035,2,0.000017,use Config;
0.000037,2,0.000019,use Scalar::Util qw(set_prototype);
0.000000,0,0.000000,
0.000102,2,0.000051,use constant PERL510     => ( $] >= 5.010 );
0.000000,0,0.000000,
0.000037,2,0.000019,use constant LEXICAL_TAG => q{:lexical};
0.000035,2,0.000017,use constant VOID_TAG    => q{:void};
0.000034,2,0.000017,use constant INSIST_TAG  => q{!};
0.000000,0,0.000000,
0.000043,2,0.000022,use constant ERROR_NOARGS    => 'Cannot use lexical %s with no arguments';
0.000040,2,0.000020,use constant ERROR_VOID_LEX  => VOID_TAG.' cannot be used with lexical scope';
0.000041,2,0.000020,use constant ERROR_LEX_FIRST => LEXICAL_TAG.' must be used as first argument';
0.000034,2,0.000017,use constant ERROR_NO_LEX    => "no %s can only start with ".LEXICAL_TAG;
0.000033,2,0.000017,use constant ERROR_BADNAME   => "Bad subroutine name for %s: %s";
0.000033,2,0.000017,use constant ERROR_NOTSUB    => "%s is not a Perl subroutine";
0.000034,2,0.000017,use constant ERROR_NOT_BUILT => "%s is neither a builtin, nor a Perl subroutine";
0.000035,2,0.000017,use constant ERROR_NOHINTS   => "No user hints defined for %s";
0.000000,0,0.000000,
0.000034,2,0.000017,use constant ERROR_CANT_OVERRIDE => "Cannot make the non-overridable builtin %s fatal";
0.000000,0,0.000000,
0.000035,2,0.000017,use constant ERROR_NO_IPC_SYS_SIMPLE => "IPC::System::Simple required for Fatalised/autodying system()";
0.000000,0,0.000000,
0.000034,2,0.000017,use constant ERROR_IPC_SYS_SIMPLE_OLD => "IPC::System::Simple version %f required for Fatalised/autodying system().  We only have version %f";
0.000000,0,0.000000,
0.000034,2,0.000017,use constant ERROR_AUTODIE_CONFLICT => q{"no autodie '%s'" is not allowed while "use Fatal '%s'" is in effect};
0.000000,0,0.000000,
0.000033,2,0.000017,use constant ERROR_FATAL_CONFLICT => q{"use Fatal '%s'" is not allowed while "no autodie '%s'" is in effect};
0.000000,0,0.000000,
0.000037,2,0.000018,use constant ERROR_58_HINTS => q{Non-subroutine %s hints for %s are not supported under Perl 5.8.x};
0.000000,0,0.000000,
0.000000,0,0.000000,# Older versions of IPC::System::Simple don't support all the
0.000000,0,0.000000,# features we need.
0.000000,0,0.000000,
0.000917,2,0.000459,use constant MIN_IPC_SYS_SIMPLE_VER => 0.12;
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '2.20'; # VERSION: Generated by DZP::OurPkg::Version
0.000000,0,0.000000,
0.000001,1,0.000001,our $Debug ||= 0;
0.000000,0,0.000000,
0.000000,0,0.000000,# EWOULDBLOCK values for systems that don't supply their own.
0.000000,0,0.000000,# Even though this is defined with our, that's to help our
0.000000,0,0.000000,# test code.  Please don't rely upon this variable existing in
0.000000,0,0.000000,# the future.
0.000000,0,0.000000,
0.000003,1,0.000003,our %_EWOULDBLOCK = (
0.000000,0,0.000000,MSWin32 => 33,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,# the linux parisc port has separate EAGAIN and EWOULDBLOCK,
0.000000,0,0.000000,# and the kernel returns EAGAIN
0.000025,1,0.000025,my $try_EAGAIN = ($^O eq 'linux' and $Config{archname} =~ /hppa|parisc/) ? 1 : 0;
0.000000,0,0.000000,
0.000000,0,0.000000,# We have some tags that can be passed in for use with import.
0.000000,0,0.000000,# These are all assumed to be CORE::
0.000000,0,0.000000,
0.000044,1,0.000044,my %TAGS = (
0.000000,0,0.000000,':io'      => [qw(:dbm :file :filesys :ipc :socket
0.000000,0,0.000000,read seek sysread syswrite sysseek )],
0.000000,0,0.000000,':dbm'     => [qw(dbmopen dbmclose)],
0.000000,0,0.000000,':file'    => [qw(open close flock sysopen fcntl fileno binmode
0.000000,0,0.000000,ioctl truncate)],
0.000000,0,0.000000,':filesys' => [qw(opendir closedir chdir link unlink rename mkdir
0.000000,0,0.000000,symlink rmdir readlink umask chmod chown utime)],
0.000000,0,0.000000,':ipc'     => [qw(:msg :semaphore :shm pipe kill)],
0.000000,0,0.000000,':msg'     => [qw(msgctl msgget msgrcv msgsnd)],
0.000000,0,0.000000,':threads' => [qw(fork)],
0.000000,0,0.000000,':semaphore'=>[qw(semctl semget semop)],
0.000000,0,0.000000,':shm'     => [qw(shmctl shmget shmread)],
0.000000,0,0.000000,':system'  => [qw(system exec)],
0.000000,0,0.000000,
0.000000,0,0.000000,# Can we use qw(getpeername getsockname)? What do they do on failure?
0.000000,0,0.000000,# TODO - Can socket return false?
0.000000,0,0.000000,':socket'  => [qw(accept bind connect getsockopt listen recv send
0.000000,0,0.000000,setsockopt shutdown socketpair)],
0.000000,0,0.000000,
0.000000,0,0.000000,# Our defaults don't include system(), because it depends upon
0.000000,0,0.000000,# an optional module, and it breaks the exotic form.
0.000000,0,0.000000,#
0.000000,0,0.000000,# This *may* change in the future.  I'd love IPC::System::Simple
0.000000,0,0.000000,# to be a dependency rather than a recommendation, and hence for
