# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,###########################################
0.000000,0,0.000000,package Log::Log4perl::DateFormat;
0.000000,0,0.000000,###########################################
0.000042,2,0.000021,use warnings;
0.000035,2,0.000017,use strict;
0.000000,0,0.000000,
0.001332,2,0.000666,use Carp qw( croak );
0.000000,0,0.000000,
0.000002,1,0.000002,our $GMTIME = 0;
0.000000,0,0.000000,
0.000005,1,0.000005,my @MONTH_NAMES = qw(
0.000000,0,0.000000,January February March April May June July
0.000000,0,0.000000,August September October November December);
0.000000,0,0.000000,
0.000003,1,0.000003,my @WEEK_DAYS = qw(
0.000000,0,0.000000,Sunday Monday Tuesday Wednesday Thursday Friday Saturday);
0.000000,0,0.000000,
0.000000,0,0.000000,###########################################
0.000000,0,0.000000,sub new {
0.000000,0,0.000000,###########################################
0.000002,1,0.000002,my($class, $format) = @_;
0.000000,0,0.000000,
0.000003,1,0.000003,my $self = { 
0.000000,0,0.000000,stack => [],
0.000000,0,0.000000,fmt   => undef,
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000002,1,0.000002,bless $self, $class;
0.000000,0,0.000000,
0.000000,0,0.000000,# Predefined formats
0.000002,1,0.000002,if($format eq "ABSOLUTE") {
0.000000,0,0.000000,$format = "HH:mm:ss,SSS";
0.000000,0,0.000000,} elsif($format eq "DATE") {
0.000000,0,0.000000,$format = "dd MMM yyyy HH:mm:ss,SSS";
0.000000,0,0.000000,} elsif($format eq "ISO8601") {
0.000000,0,0.000000,$format = "yyyy-MM-dd HH:mm:ss,SSS";
0.000000,0,0.000000,} elsif($format eq "APACHE") {
0.000000,0,0.000000,$format = "[EEE MMM dd HH:mm:ss yyyy]";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000006,1,0.000006,if($format) { 
0.000000,0,0.000000,$self->prepare($format);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000006,1,0.000006,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,###########################################
0.000000,0,0.000000,sub prepare {
0.000000,0,0.000000,###########################################
0.000002,1,0.000002,my($self, $format) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,# the actual DateTime spec allows for literal text delimited by
0.000000,0,0.000000,# single quotes; a single quote can be embedded in the literal
0.000000,0,0.000000,# text by using two single quotes.
0.000000,0,0.000000,#
0.000000,0,0.000000,# my strategy here is to split the format into active and literal
0.000000,0,0.000000,# "chunks"; active chunks are prepared using $self->rep() as
0.000000,0,0.000000,# before, while literal chunks get transformed to accomodate
0.000000,0,0.000000,# single quotes and to protect percent signs.
0.000000,0,0.000000,#
0.000000,0,0.000000,# motivation: the "recommended" ISO-8601 date spec for a time in
0.000000,0,0.000000,# UTC is actually:
0.000000,0,0.000000,#
0.000000,0,0.000000,#     YYYY-mm-dd'T'hh:mm:ss.SSS'Z'
0.000000,0,0.000000,
0.000002,1,0.000002,my $fmt = "";
0.000000,0,0.000000,
0.000005,1,0.000005,foreach my $chunk ( split /('(?:''|[^'])*')/, $format ) {
0.000020,1,0.000020,if ( $chunk =~ /\A'(.*)'\z/ ) {
0.000000,0,0.000000,# literal text
0.000000,0,0.000000,my $literal = $1;
0.000000,0,0.000000,$literal =~ s/''/'/g;
0.000000,0,0.000000,$literal =~ s/\%/\%\%/g;
0.000000,0,0.000000,$fmt .= $literal;
0.000000,0,0.000000,} elsif ( $chunk =~ /'/ ) {
0.000000,0,0.000000,# single quotes should always be in a literal
0.000000,0,0.000000,croak "bad date format \"$format\": " .
0.000000,0,0.000000,"unmatched single quote in chunk \"$chunk\"";
0.000000,0,0.000000,} else {
0.000000,0,0.000000,# handle active chunks just like before
0.000100,7,0.000014,$chunk =~ s/(([GyMdhHmsSEeDFwWakKzZ])\2*)/$self->rep($1)/ge;
0.000002,1,0.000002,$fmt .= $chunk;
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000008,1,0.000008,return $self->{fmt} = $fmt;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,###########################################
0.000000,0,0.000000,sub rep {
0.000000,0,0.000000,###########################################
0.000013,6,0.000002,my ($self, $string) = @_;
0.000000,0,0.000000,
0.000010,6,0.000002,my $first = substr $string, 0, 1;
0.000009,6,0.000002,my $len   = length $string;
0.000000,0,0.000000,
0.000016,6,0.000003,my $time=time();
0.000028,6,0.000005,my @g = gmtime($time);
0.000041,6,0.000007,my @t = localtime($time);
0.000020,6,0.000003,my $z = $t[1]-$g[1]+($t[2]-$g[2])*60+($t[7]-$g[7])*1440+
0.000000,0,0.000000,($t[5]-$g[5])*(525600+(abs($t[7]-$g[7])>364)*1440);
0.000016,6,0.000003,my $offset = sprintf("%+.2d%.2d", $z/60, "00");
0.000000,0,0.000000,
0.000000,0,0.000000,#my ($s,$mi,$h,$d,$mo,$y,$wd,$yd,$dst) = localtime($time);
0.000000,0,0.000000,
0.000000,0,0.000000,# Here's how this works:
0.000000,0,0.000000,# Detect what kind of parameter we're dealing with and determine
