# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,##################################################
0.000000,0,0.000000,package Log::Log4perl::Logger;
0.000000,0,0.000000,##################################################
0.000000,0,0.000000,
0.000052,2,0.000026,use 5.006;
0.000036,2,0.000018,use strict;
0.000033,2,0.000016,use warnings;
0.000000,0,0.000000,
0.000034,2,0.000017,use Log::Log4perl;
0.000113,2,0.000056,use Log::Log4perl::Level;
0.000117,2,0.000058,use Log::Log4perl::Layout;
0.000107,2,0.000054,use Log::Log4perl::Appender;
0.000218,2,0.000109,use Log::Log4perl::Appender::String;
0.000030,2,0.000015,use Log::Log4perl::Filter;
0.000047,2,0.000023,use Carp;
0.000000,0,0.000000,
0.000002,1,0.000002,$Carp::Internal{"Log::Log4perl"}++;
0.000003,1,0.000003,$Carp::Internal{"Log::Log4perl::Logger"}++;
0.000000,0,0.000000,
0.002912,2,0.001456,use constant _INTERNAL_DEBUG => 0;
0.000000,0,0.000000,
0.000000,0,0.000000,# Initialization
0.000001,1,0.000001,our $ROOT_LOGGER;
0.000002,1,0.000002,our $LOGGERS_BY_NAME = {};
0.000002,1,0.000002,our %APPENDER_BY_NAME = ();
0.000001,1,0.000001,our $INITIALIZED = 0;
0.000001,1,0.000001,our $NON_INIT_WARNED;
0.000001,1,0.000001,our $DIE_DEBUG = 0;
0.000002,1,0.000002,our $DIE_DEBUG_BUFFER = "";
0.000000,0,0.000000,# Define the default appender that's used for formatting
0.000000,0,0.000000,# warn/die/croak etc. messages.
0.000002,1,0.000002,our $STRING_APP_NAME = "_l4p_warn";
0.000006,1,0.000006,our $STRING_APP      = Log::Log4perl::Appender->new(
0.000000,0,0.000000,"Log::Log4perl::Appender::String",
0.000000,0,0.000000,name => $STRING_APP_NAME);
0.000011,1,0.000011,$STRING_APP->layout(Log::Log4perl::Layout::PatternLayout->new("%m"));
0.000006,1,0.000006,our $STRING_APP_CODEREF = generate_coderef([[$STRING_APP_NAME, $STRING_APP]]);
0.000000,0,0.000000,
0.000006,1,0.000006,__PACKAGE__->reset();
0.000000,0,0.000000,
0.000000,0,0.000000,###########################################
