# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,##################################################
0.000000,0,0.000000,package Log::Log4perl;
0.000000,0,0.000000,##################################################
0.000000,0,0.000000,
0.000016,2,0.000008,END { local($?); Log::Log4perl::Logger::cleanup(); }
0.000000,0,0.000000,
0.000055,2,0.000027,use 5.006;
0.000033,2,0.000017,use strict;
0.000033,2,0.000016,use warnings;
0.000000,0,0.000000,
0.000142,2,0.000071,use Log::Log4perl::Util;
0.000119,2,0.000060,use Log::Log4perl::Logger;
0.000036,2,0.000018,use Log::Log4perl::Level;
0.000030,2,0.000015,use Log::Log4perl::Config;
0.000210,2,0.000105,use Log::Log4perl::Appender;
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '1.42';
0.000000,0,0.000000,
0.000000,0,0.000000,# set this to '1' if you're using a wrapper
0.000000,0,0.000000,# around Log::Log4perl
0.000002,1,0.000002,our $caller_depth = 0;
0.000000,0,0.000000,
0.000000,0,0.000000,#this is a mapping of convenience names to opcode masks used in
0.000000,0,0.000000,#$ALLOWED_CODE_OPS_IN_CONFIG_FILE below
0.000005,1,0.000005,our %ALLOWED_CODE_OPS = (
0.000000,0,0.000000,'safe'        => [ ':browse' ],
0.000000,0,0.000000,'restrictive' => [ ':default' ],
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000004,1,0.000004,our %WRAPPERS_REGISTERED = map { $_ => 1 } qw(Log::Log4perl);
0.000000,0,0.000000,
0.000000,0,0.000000,#set this to the opcodes which are allowed when
0.000000,0,0.000000,#$ALLOW_CODE_IN_CONFIG_FILE is set to a true value
0.000000,0,0.000000,#if undefined, there are no restrictions on code that can be
0.000000,0,0.000000,#excuted
0.000001,1,0.000001,our @ALLOWED_CODE_OPS_IN_CONFIG_FILE;
0.000000,0,0.000000,
0.000000,0,0.000000,#this hash lists things that should be exported into the Safe
0.000000,0,0.000000,#compartment.  The keys are the package the symbol should be
0.000000,0,0.000000,#exported from and the values are array references to the names
0.000000,0,0.000000,#of the symbols (including the leading type specifier)
0.000003,1,0.000003,our %VARS_SHARED_WITH_SAFE_COMPARTMENT = (
0.000000,0,0.000000,main => [ '%ENV' ],
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,#setting this to a true value will allow Perl code to be executed
0.000000,0,0.000000,#within the config file.  It works in conjunction with
0.000000,0,0.000000,#$ALLOWED_CODE_OPS_IN_CONFIG_FILE, which if defined restricts the
0.000000,0,0.000000,#opcodes which can be executed using the 'Safe' module.
0.000000,0,0.000000,#setting this to a false value disables code execution in the
0.000000,0,0.000000,#config file
0.000001,1,0.000001,our $ALLOW_CODE_IN_CONFIG_FILE = 1;
0.000000,0,0.000000,
0.000000,0,0.000000,#arrays in a log message will be joined using this character,
0.000000,0,0.000000,#see Log::Log4perl::Appender::DBI
0.000002,1,0.000002,our $JOIN_MSG_ARRAY_CHAR = '';
0.000000,0,0.000000,
0.000000,0,0.000000,#version required for XML::DOM, to enable XML Config parsing
0.000000,0,0.000000,#and XML Config unit tests
0.000002,1,0.000002,our $DOM_VERSION_REQUIRED = '1.29'; 
0.000000,0,0.000000,
0.000001,1,0.000001,our $CHATTY_DESTROY_METHODS = 0;
0.000000,0,0.000000,
0.000001,1,0.000001,our $LOGDIE_MESSAGE_ON_STDERR = 1;
0.000001,1,0.000001,our $LOGEXIT_CODE             = 1;
0.000001,1,0.000001,our %IMPORT_CALLED;
0.000000,0,0.000000,
0.000002,1,0.000002,our $EASY_CLOSURES = {};
0.000000,0,0.000000,
0.000000,0,0.000000,# to throw refs as exceptions via logcarp/confess, turn this off
0.000001,1,0.000001,our $STRINGIFY_DIE_MESSAGE = 1;
0.000000,0,0.000000,
0.000114,2,0.000057,use constant _INTERNAL_DEBUG => 0;
0.000000,0,0.000000,
0.000000,0,0.000000,##################################################
0.000000,0,0.000000,sub import {
0.000000,0,0.000000,##################################################
0.000002,1,0.000002,my($class) = shift;
0.000000,0,0.000000,
0.000002,1,0.000002,my $caller_pkg = caller();
0.000000,0,0.000000,
0.000002,1,0.000002,return 1 if $IMPORT_CALLED{$caller_pkg}++;
0.000000,0,0.000000,
0.000003,1,0.000003,my(%tags) = map { $_ => 1 } @_;
0.000000,0,0.000000,
0.000000,0,0.000000,# Lazy man's logger
0.000003,1,0.000003,if(exists $tags{':easy'}) {
0.000002,1,0.000002,$tags{':levels'} = 1;
0.000001,1,0.000001,$tags{':nowarn'} = 1;
0.000002,1,0.000002,$tags{'get_logger'} = 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000002,1,0.000002,if(exists $tags{':no_extra_logdie_message'}) {
0.000000,0,0.000000,$Log::Log4perl::LOGDIE_MESSAGE_ON_STDERR = 0;
0.000000,0,0.000000,delete $tags{':no_extra_logdie_message'};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000003,1,0.000003,if(exists $tags{get_logger}) {
0.000000,0,0.000000,# Export get_logger into the calling module's 
0.000111,2,0.000056,no strict qw(refs);
0.000006,1,0.000006,*{"$caller_pkg\::get_logger"} = *get_logger;
0.000000,0,0.000000,
0.000002,1,0.000002,delete $tags{get_logger};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000003,1,0.000003,if(exists $tags{':levels'}) {
0.000000,0,0.000000,# Export log levels ($DEBUG, $INFO etc.) from Log4perl::Level
0.000005,1,0.000005,for my $key (keys %Log::Log4perl::Level::PRIORITY) {
0.000013,8,0.000002,my $name  = "$caller_pkg\::$key";
0.000000,0,0.000000,# Need to split this up in two lines, or CVS will
0.000000,0,0.000000,# mess it up.
0.000012,8,0.000002,my $value = $
0.000000,0,0.000000,Log::Log4perl::Level::PRIORITY{$key};
0.001784,2,0.000892,no strict qw(refs);
0.000035,8,0.000004,*{"$name"} = \$value;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000002,1,0.000002,delete $tags{':levels'};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# Lazy man's logger
0.000003,1,0.000003,if(exists $tags{':easy'}) {
0.000002,1,0.000002,delete $tags{':easy'};
0.000000,0,0.000000,
0.000000,0,0.000000,# Define default logger object in caller's package
0.000005,1,0.000005,my $logger = get_logger("$caller_pkg");
0.000000,0,0.000000,
0.000000,0,0.000000,# Define DEBUG, INFO, etc. routines in caller's package
0.000003,1,0.000003,for(qw(TRACE DEBUG INFO WARN ERROR FATAL ALWAYS)) {
0.000012,7,0.000002,my $level   = $_;
0.000013,7,0.000002,$level = "OFF" if $level eq "ALWAYS";
0.000011,7,0.000002,my $lclevel = lc($_);
0.000000,0,0.000000,easy_closure_create($caller_pkg, $_, sub {
0.000004,2,0.000002,Log::Log4perl::Logger::init_warn() unless 
0.000000,0,0.000000,$Log::Log4perl::Logger::INITIALIZED or
0.000000,0,0.000000,$Log::Log4perl::Logger::NON_INIT_WARNED;
0.000028,2,0.000014,$logger->{$level}->($logger, @_, $level);
0.000064,7,0.000009,}, $logger);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# Define LOGCROAK, LOGCLUCK, etc. routines in caller's package
0.000003,1,0.000003,for(qw(LOGCROAK LOGCLUCK LOGCARP LOGCONFESS)) {
0.000009,4,0.000002,my $method = "Log::Log4perl::Logger::" . lc($_);
0.000000,0,0.000000,
0.000000,0,0.000000,easy_closure_create($caller_pkg, $_, sub {
0.000000,0,0.000000,unshift @_, $logger;
0.000000,0,0.000000,goto &$method;
0.000031,4,0.000008,}, $logger);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# Define LOGDIE, LOGWARN
0.000000,0,0.000000,easy_closure_create($caller_pkg, "LOGDIE", sub {
0.000000,0,0.000000,Log::Log4perl::Logger::init_warn() unless 
0.000000,0,0.000000,$Log::Log4perl::Logger::INITIALIZED or
0.000000,0,0.000000,$Log::Log4perl::Logger::NON_INIT_WARNED;
0.000000,0,0.000000,$logger->{FATAL}->($logger, @_, "FATAL");
0.000000,0,0.000000,$Log::Log4perl::LOGDIE_MESSAGE_ON_STDERR ?
0.000000,0,0.000000,CORE::die(Log::Log4perl::Logger::callerline(join '', @_)) :
0.000000,0,0.000000,exit $Log::Log4perl::LOGEXIT_CODE;
0.000006,1,0.000006,}, $logger);
0.000000,0,0.000000,
0.000000,0,0.000000,easy_closure_create($caller_pkg, "LOGEXIT", sub {
0.000000,0,0.000000,Log::Log4perl::Logger::init_warn() unless 
0.000000,0,0.000000,$Log::Log4perl::Logger::INITIALIZED or
0.000000,0,0.000000,$Log::Log4perl::Logger::NON_INIT_WARNED;
0.000000,0,0.000000,$logger->{FATAL}->($logger, @_, "FATAL");
0.000000,0,0.000000,exit $Log::Log4perl::LOGEXIT_CODE;
0.000006,1,0.000006,}, $logger);
0.000000,0,0.000000,
0.000000,0,0.000000,easy_closure_create($caller_pkg, "LOGWARN", sub {
0.000000,0,0.000000,Log::Log4perl::Logger::init_warn() unless 
0.000000,0,0.000000,$Log::Log4perl::Logger::INITIALIZED or
