# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Method::Signatures::Simple;
0.000000,0,0.000000,{
0.000005,2,0.000002,$Method::Signatures::Simple::VERSION = '1.07';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000035,2,0.000017,use warnings;
0.000043,2,0.000021,use strict;
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,Method::Signatures::Simple - Basic method declarations with signatures, without source filters
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 VERSION
0.000000,0,0.000000,
0.000000,0,0.000000,version 1.07
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000453,2,0.000227,use base 'Devel::Declare::MethodInstaller::Simple';
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000002,1,0.000002,my $class = shift;
0.000002,1,0.000002,my %opts  = @_;
0.000002,1,0.000002,$opts{into} ||= caller;
0.000000,0,0.000000,
0.000002,1,0.000002,my $meth = delete $opts{name} || delete $opts{method_keyword};
0.000002,1,0.000002,my $func = delete $opts{function_keyword};
0.000000,0,0.000000,
0.000000,0,0.000000,# if no options are provided at all, then we supply defaults
0.000003,1,0.000003,unless (defined $meth || defined $func) {
0.000002,1,0.000002,$meth = 'method';
0.000002,1,0.000002,$func = 'func';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# we only install keywords that are requested
0.000010,1,0.000010,if (defined $meth) {
0.000000,0,0.000000,$class->install_methodhandler(
0.000000,0,0.000000,name     => $meth,
0.000000,0,0.000000,invocant => '$self',
0.000000,0,0.000000,%opts,
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000013,1,0.000013,if (defined $func) {
0.000000,0,0.000000,$class->install_methodhandler(
0.000000,0,0.000000,name     => $func,
0.000000,0,0.000000,%opts,
0.000000,0,0.000000,invocant => undef,
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub strip_proto {
0.000025,17,0.000001,my $self = shift;
0.000108,17,0.000006,my ($proto) = $self->SUPER::strip_proto()
0.000000,0,0.000000,or return '';
0.000000,0,0.000000,# we strip comments and newlines here, and stash the number of newlines.
0.000000,0,0.000000,# we will re-inject the newlines in strip_attrs(), because DD does not
0.000000,0,0.000000,# like it when you inject them into the following code block. it does not
0.000000,0,0.000000,# object to tacking on newlines to the code attribute spec though.
0.000000,0,0.000000,# (see the call to inject_if_block() in DD::MethodInstaller::Simple->parser)
0.000092,14,0.000007,$proto =~ s/\s*#.*$//mg;
0.000097,14,0.000007,$self->{__nls} = $proto =~ s/[\r\n]//g;
0.000069,14,0.000005,$proto;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub strip_attrs {
0.000025,17,0.000001,my $self = shift;
0.000092,17,0.000005,my ($attrs) = $self->SUPER::strip_attrs();
0.000026,17,0.000002,$attrs ||= '';
0.000027,17,0.000002,$attrs .= $/ x $self->{__nls} if $self->{__nls};
0.000080,17,0.000005,$attrs;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub parse_proto {
0.000030,17,0.000002,my $self = shift;
0.000027,17,0.000002,my ($proto) = @_;
0.000024,17,0.000001,$proto ||= '';
0.000108,17,0.000006,$proto =~ s/\s*#.*$//mg;
0.000109,17,0.000006,$proto =~ s/^\s+//mg;
0.000105,17,0.000006,$proto =~ s/\s+$//mg;
0.000095,17,0.000006,$proto =~ s/[\r\n]//g;
0.000030,17,0.000002,my $invocant = $self->{invocant};
0.000000,0,0.000000,
0.000100,17,0.000006,$invocant = $1 if $proto =~ s{(\$\w+)\s*:\s*}{};
0.000000,0,0.000000,
0.000025,17,0.000001,my $inject = '';
0.000035,17,0.000002,$inject .= "my ${invocant} = shift;" if $invocant;
0.000034,17,0.000002,$inject .= "my ($proto) = \@_;"      if defined $proto and length $proto;
0.000024,17,0.000001,$inject .= '();'; # fix for empty method body
0.000000,0,0.000000,
0.000098,17,0.000006,return $inject;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,# -- a basic class -- #
0.000000,0,0.000000,package User;
0.000000,0,0.000000,use Method::Signatures::Simple;
0.000000,0,0.000000,
0.000000,0,0.000000,method new ($class: $name, $email) {
0.000000,0,0.000000,my $user = {
0.000000,0,0.000000,id    => new_id(42),
0.000000,0,0.000000,name  => $name,
0.000000,0,0.000000,email => $email,
0.000000,0,0.000000,};
0.000000,0,0.000000,bless $user, $class;
0.000000,0,0.000000,}
0.000000,0,0.000000,
