# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Modern::Perl;
0.000000,0,0.000000,{
0.000005,2,0.000002,$Modern::Perl::VERSION = '1.20121103';
0.000000,0,0.000000,}
0.000000,0,0.000000,# ABSTRACT: enable all of the features of Modern Perl with one import
0.000000,0,0.000000,
0.000236,2,0.000118,use 5.010_000;
0.000000,0,0.000000,
0.001386,2,0.000693,use strict;
0.004055,2,0.002028,use warnings;
0.000000,0,0.000000,
0.000176,2,0.000088,use mro     ();
0.000879,2,0.000440,use feature ();
0.000000,0,0.000000,
0.000000,0,0.000000,# enable methods on filehandles; unnecessary when 5.14 autoloads them
0.000217,2,0.000108,use IO::File   ();
0.000298,2,0.000149,use IO::Handle ();
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION;
0.000000,0,0.000000,
0.000001,1,0.000001,my $wanted_date;
0.000000,0,0.000000,sub VERSION
0.000000,0,0.000000,{
0.000000,0,0.000000,my ($self, $version) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,return $VERSION unless defined $version;
0.000000,0,0.000000,return $VERSION if             $version < 2009;
0.000000,0,0.000000,
0.000000,0,0.000000,$wanted_date = $version if (caller(1))[3] =~ /::BEGIN/;
0.000000,0,0.000000,return 2012;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub import
0.000000,0,0.000000,{
0.000004,2,0.000002,my ($class, $date) = @_;
0.000003,2,0.000002,$date = $wanted_date unless defined $date;
0.000000,0,0.000000,
0.000011,2,0.000006,my $feature_tag    = validate_date( $date );
0.000003,2,0.000002,undef $wanted_date;
0.000000,0,0.000000,
0.000012,2,0.000006,warnings->import();
0.000011,2,0.000006,strict->import();
0.000015,2,0.000007,feature->import( $feature_tag );
0.000033,2,0.000016,mro::set_mro( scalar caller(), 'c3' );
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub unimport
0.000000,0,0.000000,{
0.000000,0,0.000000,warnings->unimport;
0.000000,0,0.000000,strict->unimport;
0.000000,0,0.000000,feature->unimport;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000005,1,0.000005,my %dates =
0.000000,0,0.000000,(
0.000000,0,0.000000,2009 => ':5.10',
0.000000,0,0.000000,2010 => ':5.10',
0.000000,0,0.000000,2011 => ':5.12',
0.000000,0,0.000000,2012 => ':5.14',
0.000000,0,0.000000,2013 => ':5.16',
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,sub validate_date
0.000000,0,0.000000,{
0.000003,2,0.000002,my $date = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,# always enable unicode_strings when available
0.000003,2,0.000002,unless ($date)
0.000000,0,0.000000,{
0.000023,2,0.000011,return ':5.12' if $] > 5.011003;
0.000000,0,0.000000,return ':5.10';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,my $year = substr $date, 0, 4;
0.000000,0,0.000000,return $dates{$year} if exists $dates{$year};
0.000000,0,0.000000,
0.000000,0,0.000000,die "Unknown date '$date' requested\n";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000005,1,0.000005,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
