# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Moose::Exporter;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Moose::Exporter::AUTHORITY = 'cpan:STEVAN';
0.000032,1,0.000032,}
0.000000,0,0.000000,{
0.000005,2,0.000003,$Moose::Exporter::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000032,2,0.000016,use strict;
0.000047,2,0.000023,use warnings;
0.000000,0,0.000000,
0.000032,2,0.000016,use Class::Load qw(is_class_loaded);
0.000224,2,0.000112,use Class::MOP;
0.000038,2,0.000019,use List::MoreUtils qw( first_index uniq );
0.000139,2,0.000070,use Moose::Util::MetaRole;
0.000037,2,0.000019,use Scalar::Util qw(reftype);
0.000123,3,0.000041,use Sub::Exporter 0.980;
0.000435,2,0.000218,use Sub::Name qw(subname);
0.000000,0,0.000000,
0.000001,1,0.000001,my %EXPORT_SPEC;
0.000000,0,0.000000,
0.000000,0,0.000000,sub setup_import_methods {
0.000007,2,0.000004,my ( $class, %args ) = @_;
0.000000,0,0.000000,
0.000005,2,0.000003,$args{exporting_package} ||= caller();
0.000000,0,0.000000,
0.000027,2,0.000014,$class->build_import_methods(
0.000000,0,0.000000,%args,
0.000000,0,0.000000,install => [qw(import unimport init_meta)]
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# A reminder to intrepid Moose hackers
0.000000,0,0.000000,# there may be more than one level of exporter
0.000000,0,0.000000,# don't make doy cry. -- perigrin
0.000000,0,0.000000,
0.000000,0,0.000000,sub build_import_methods {
0.000007,2,0.000003,my ( $class, %args ) = @_;
0.000000,0,0.000000,
0.000004,2,0.000002,my $exporting_package = $args{exporting_package} ||= caller();
0.000000,0,0.000000,
0.000064,8,0.000008,my $meta_lookup = $args{meta_lookup} || sub { Class::MOP::class_of(shift) };
0.000000,0,0.000000,
0.000004,2,0.000002,$EXPORT_SPEC{$exporting_package} = \%args;
0.000000,0,0.000000,
0.000014,2,0.000007,my @exports_from = $class->_follow_also($exporting_package);
0.000000,0,0.000000,
0.000004,2,0.000002,my $export_recorder = {};
0.000003,2,0.000001,my $is_reexport     = {};
0.000000,0,0.000000,
0.000018,2,0.000009,my $exports = $class->_make_sub_exporter_params(
0.000000,0,0.000000,[ $exporting_package, @exports_from ],
0.000000,0,0.000000,$export_recorder,
0.000000,0,0.000000,$is_reexport,
0.000000,0,0.000000,$args{meta_lookup}, # so that we don't pass through the default
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000014,2,0.000007,my $exporter = $class->_make_exporter(
0.000000,0,0.000000,$exports,
0.000000,0,0.000000,$is_reexport,
0.000000,0,0.000000,$meta_lookup,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000003,2,0.000002,my %methods;
0.000015,2,0.000008,$methods{import} = $class->_make_import_sub(
0.000000,0,0.000000,$exporting_package,
0.000000,0,0.000000,$exporter,
0.000000,0,0.000000,\@exports_from,
0.000000,0,0.000000,$is_reexport,
0.000000,0,0.000000,$meta_lookup,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000014,2,0.000007,$methods{unimport} = $class->_make_unimport_sub(
0.000000,0,0.000000,$exporting_package,
0.000000,0,0.000000,$exports,
0.000000,0,0.000000,$export_recorder,
0.000000,0,0.000000,$is_reexport,
0.000000,0,0.000000,$meta_lookup,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000014,2,0.000007,$methods{init_meta} = $class->_make_init_meta(
0.000000,0,0.000000,$exporting_package,
0.000000,0,0.000000,\%args,
0.000000,0,0.000000,$meta_lookup,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000014,2,0.000007,my $package = Class::MOP::Package->initialize($exporting_package);
0.000011,2,0.000006,for my $to_install ( @{ $args{install} || [] } ) {
0.000011,6,0.000002,my $symbol = '&' . $to_install;
0.000000,0,0.000000,next
0.000029,6,0.000005,unless $methods{$to_install}
