# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,package Moose::Meta::Method::Destructor;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Moose::Meta::Method::Destructor::AUTHORITY = 'cpan:STEVAN';
0.000041,1,0.000041,}
0.000000,0,0.000000,{
0.000005,2,0.000003,$Moose::Meta::Method::Destructor::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000034,2,0.000017,use strict;
0.000034,2,0.000017,use warnings;
0.000000,0,0.000000,
0.000033,2,0.000017,use Devel::GlobalDestruction ();
0.000037,2,0.000019,use Scalar::Util 'blessed', 'weaken';
0.000040,2,0.000020,use Try::Tiny;
0.000000,0,0.000000,
0.000010,1,0.000010,use base 'Moose::Meta::Method',
0.000523,1,0.000523,'Class::MOP::Method::Inlined';
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000002,1,0.000002,my $class   = shift;
0.000003,1,0.000003,my %options = @_;
0.000000,0,0.000000,
0.000002,1,0.000002,(ref $options{options} eq 'HASH')
0.000000,0,0.000000,|| $class->throw_error("You must pass a hash of options", data => $options{options});
0.000000,0,0.000000,
0.000002,1,0.000002,($options{package_name} && $options{name})
0.000000,0,0.000000,|| $class->throw_error("You must supply the package_name and name parameters $Class::MOP::Method::UPGRADE_ERROR_TEXT");
0.000000,0,0.000000,
0.000005,1,0.000005,my $self = bless {
0.000000,0,0.000000,# from our superclass
0.000000,0,0.000000,'body'                 => undef,
0.000000,0,0.000000,'package_name'         => $options{package_name},
0.000000,0,0.000000,'name'                 => $options{name},
0.000000,0,0.000000,# ...
0.000000,0,0.000000,'options'              => $options{options},
0.000000,0,0.000000,'definition_context'   => $options{definition_context},
0.000000,0,0.000000,'associated_metaclass' => $options{metaclass},
0.000000,0,0.000000,} => $class;
0.000000,0,0.000000,
0.000000,0,0.000000,# we don't want this creating
0.000000,0,0.000000,# a cycle in the code, if not
0.000000,0,0.000000,# needed
0.000262,1,0.000262,weaken($self->{'associated_metaclass'});
0.000000,0,0.000000,
0.000006,1,0.000006,$self->_initialize_body;
0.000000,0,0.000000,
0.000007,1,0.000007,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,## accessors
0.000000,0,0.000000,
0.000007,1,0.000007,sub options              { (shift)->{'options'}              }
0.000000,0,0.000000,
0.000000,0,0.000000,## method
0.000000,0,0.000000,
0.000000,0,0.000000,sub is_needed {
0.000002,1,0.000002,my $self      = shift;
0.000002,1,0.000002,my $metaclass = shift;
0.000000,0,0.000000,
0.000017,1,0.000017,( blessed $metaclass && $metaclass->isa('Class::MOP::Class') )
0.000000,0,0.000000,|| $self->throw_error(
0.000000,0,0.000000,"The is_needed method expected a metaclass object as its arugment");
0.000000,0,0.000000,
0.000012,1,0.000012,return $metaclass->find_method_by_name("DEMOLISHALL");
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub initialize_body {
0.000000,0,0.000000,Carp::cluck('The initialize_body method has been made private.'
0.000000,0,0.000000,. " The public version is deprecated and will be removed in a future release.\n");
0.000000,0,0.000000,shift->_initialize_body;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _initialize_body {
0.000002,1,0.000002,my $self = shift;
0.000000,0,0.000000,# TODO:
0.000000,0,0.000000,# the %options should also include a both
0.000000,0,0.000000,# a call 'initializer' and call 'SUPER::'
