# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Moose::Meta::Role::Application::ToClass;
0.000000,0,0.000000,BEGIN {
0.000009,1,0.000009,$Moose::Meta::Role::Application::ToClass::AUTHORITY = 'cpan:STEVAN';
0.000034,1,0.000034,}
0.000000,0,0.000000,{
0.000005,2,0.000003,$Moose::Meta::Role::Application::ToClass::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000046,2,0.000023,use strict;
0.000034,2,0.000017,use warnings;
0.000039,2,0.000019,use metaclass;
0.000000,0,0.000000,
0.000037,2,0.000019,use List::MoreUtils 'firstval';
0.000053,2,0.000026,use Moose::Util  'english_list';
0.000039,2,0.000020,use Scalar::Util 'weaken', 'blessed';
0.000000,0,0.000000,
0.000902,2,0.000451,use base 'Moose::Meta::Role::Application';
0.000000,0,0.000000,
0.000014,1,0.000014,__PACKAGE__->meta->add_attribute('role' => (
0.000000,0,0.000000,reader => 'role',
0.000000,0,0.000000,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000000,0,0.000000,
0.000013,1,0.000013,__PACKAGE__->meta->add_attribute('class' => (
0.000000,0,0.000000,accessor => 'class',
0.000000,0,0.000000,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000000,0,0.000000,
0.000000,0,0.000000,sub apply {
0.000000,0,0.000000,my ($self, $role, $class) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,# We need weak_ref in CMOP :(
0.000000,0,0.000000,weaken($self->{role}  = $role);
0.000000,0,0.000000,weaken($self->{class} = $class);
0.000000,0,0.000000,
0.000000,0,0.000000,$self->SUPER::apply($role, $class);
0.000000,0,0.000000,
0.000000,0,0.000000,$class->add_role($role);
0.000000,0,0.000000,$class->add_role_application($self);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub check_role_exclusions {
0.000000,0,0.000000,my ($self, $role, $class) = @_;
0.000000,0,0.000000,if ($class->excludes_role($role->name)) {
0.000000,0,0.000000,$class->throw_error("Conflict detected: " . $class->name . " excludes role '" . $role->name . "'");
0.000000,0,0.000000,}
0.000000,0,0.000000,foreach my $excluded_role_name ($role->get_excluded_roles_list) {
0.000000,0,0.000000,if ($class->does_role($excluded_role_name)) {
0.000000,0,0.000000,$class->throw_error("The class " . $class->name . " does the excluded role '$excluded_role_name'");
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub check_required_methods {
0.000000,0,0.000000,my ($self, $role, $class) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,my @missing;
0.000000,0,0.000000,my @is_attr;
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE:
0.000000,0,0.000000,# we might need to move this down below the
0.000000,0,0.000000,# the attributes so that we can require any
0.000000,0,0.000000,# attribute accessors. However I am thinking
0.000000,0,0.000000,# that maybe those are somehow exempt from
0.000000,0,0.000000,# the require methods stuff.
0.000000,0,0.000000,foreach my $required_method ($role->get_required_method_list) {
0.000000,0,0.000000,my $required_method_name = $required_method->name;
0.000000,0,0.000000,
0.000000,0,0.000000,if (!$class->find_method_by_name($required_method_name)) {
0.000000,0,0.000000,
0.000000,0,0.000000,next if $self->is_aliased_method($required_method_name);
0.000000,0,0.000000,
0.000000,0,0.000000,push @missing, $required_method;
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,return unless @missing;
0.000000,0,0.000000,
