# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,package Moose::Meta::Role::Method::Required;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Moose::Meta::Role::Method::Required::AUTHORITY = 'cpan:STEVAN';
0.000032,1,0.000032,}
0.000000,0,0.000000,{
0.000005,2,0.000003,$Moose::Meta::Role::Method::Required::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000037,2,0.000018,use strict;
0.000032,2,0.000016,use warnings;
0.000067,2,0.000034,use metaclass;
0.000000,0,0.000000,
0.000000,0,0.000000,use overload '""'     => sub { shift->name },   # stringify to method name
0.000039,2,0.000020,fallback => 1;
0.000000,0,0.000000,
0.000075,2,0.000038,use base qw(Class::MOP::Object);
0.000000,0,0.000000,
0.000000,0,0.000000,# This is not a Moose::Meta::Role::Method because it has no implementation, it
0.000000,0,0.000000,# is just a name
0.000000,0,0.000000,
0.000014,1,0.000014,__PACKAGE__->meta->add_attribute('name' => (
0.000000,0,0.000000,reader   => 'name',
0.000000,0,0.000000,required => 1,
0.000000,0,0.000000,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000000,0,0.000000,
0.000000,0,0.000000,sub new { shift->_new(@_) }
0.000000,0,0.000000,
0.000005,1,0.000005,1;
0.000000,0,0.000000,
0.000000,0,0.000000,# ABSTRACT: A Moose metaclass for required methods in Roles
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
