# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Moose::Meta::Role;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Moose::Meta::Role::AUTHORITY = 'cpan:STEVAN';
0.000031,1,0.000031,}
0.000000,0,0.000000,{
0.000005,2,0.000002,$Moose::Meta::Role::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000033,2,0.000017,use strict;
0.000032,2,0.000016,use warnings;
0.000039,2,0.000019,use metaclass;
0.000000,0,0.000000,
0.000036,2,0.000018,use Class::Load qw(load_class);
0.000035,2,0.000018,use Scalar::Util 'blessed';
0.000036,2,0.000018,use Carp         'confess';
0.000042,2,0.000021,use Devel::GlobalDestruction 'in_global_destruction';
0.000000,0,0.000000,
0.000034,2,0.000017,use Moose::Meta::Class;
0.000145,2,0.000072,use Moose::Meta::Role::Attribute;
0.000148,2,0.000074,use Moose::Meta::Role::Method;
0.000115,2,0.000057,use Moose::Meta::Role::Method::Required;
0.000123,2,0.000061,use Moose::Meta::Role::Method::Conflicting;
0.000300,2,0.000150,use Moose::Meta::Method::Meta;
0.000037,2,0.000018,use Moose::Util qw( ensure_all_roles );
0.000036,2,0.000018,use Class::MOP::MiniTrait;
0.000000,0,0.000000,
0.000010,1,0.000010,use base 'Class::MOP::Module',
0.000000,0,0.000000,'Class::MOP::Mixin::HasAttributes',
0.002668,1,0.002668,'Class::MOP::Mixin::HasMethods';
0.000000,0,0.000000,
0.000006,1,0.000006,Class::MOP::MiniTrait::apply(__PACKAGE__, 'Moose::Meta::Object::Trait');
0.000000,0,0.000000,
0.000000,0,0.000000,## ------------------------------------------------------------------
0.000000,0,0.000000,## NOTE:
0.000000,0,0.000000,## I normally don't do this, but I am doing
0.000000,0,0.000000,## a whole bunch of meta-programmin' in this
0.000000,0,0.000000,## module, so it just makes sense. For a clearer
0.000000,0,0.000000,## picture of what is going on in the next
0.000000,0,0.000000,## several lines of code, look at the really
0.000000,0,0.000000,## big comment at the end of this file (right
0.000000,0,0.000000,## before the POD).
0.000000,0,0.000000,## - SL
0.000000,0,0.000000,## ------------------------------------------------------------------
0.000000,0,0.000000,
0.000006,1,0.000006,my $META = __PACKAGE__->meta;
0.000000,0,0.000000,
0.000000,0,0.000000,## ------------------------------------------------------------------
0.000000,0,0.000000,## attributes ...
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE:
0.000000,0,0.000000,# since roles are lazy, we hold all the attributes
0.000000,0,0.000000,# of the individual role in 'stasis' until which
0.000000,0,0.000000,# time when it is applied to a class. This means
0.000000,0,0.000000,# keeping a lot of things in hash maps, so we are
0.000000,0,0.000000,# using a little of that meta-programmin' magic
0.000000,0,0.000000,# here and saving lots of extra typin'. And since
0.000000,0,0.000000,# many of these attributes above require similar
0.000000,0,0.000000,# functionality to support them, so we again use
0.000000,0,0.000000,# the wonders of meta-programmin' to deliver a
0.000000,0,0.000000,# very compact solution to this normally verbose
0.000000,0,0.000000,# problem.
0.000000,0,0.000000,# - SL
0.000000,0,0.000000,
0.000010,1,0.000010,foreach my $action (
0.000000,0,0.000000,{
0.000000,0,0.000000,name        => 'excluded_roles_map',
0.000000,0,0.000000,attr_reader => 'get_excluded_roles_map' ,
0.000000,0,0.000000,methods     => {
0.000000,0,0.000000,add       => 'add_excluded_roles',
0.000000,0,0.000000,get_keys  => 'get_excluded_roles_list',
0.000000,0,0.000000,existence => 'excludes_role',
0.000000,0,0.000000,}
0.000000,0,0.000000,},
0.000000,0,0.000000,{
0.000000,0,0.000000,name        => 'required_methods',
0.000000,0,0.000000,attr_reader => 'get_required_methods_map',
0.000000,0,0.000000,methods     => {
0.000000,0,0.000000,remove     => 'remove_required_methods',
0.000000,0,0.000000,get_values => 'get_required_method_list',
0.000000,0,0.000000,existence  => 'requires_method',
0.000000,0,0.000000,}
0.000000,0,0.000000,},
0.000000,0,0.000000,) {
0.000000,0,0.000000,
0.000004,2,0.000002,my $attr_reader = $action->{attr_reader};
0.000003,2,0.000002,my $methods     = $action->{methods};
0.000000,0,0.000000,
0.000000,0,0.000000,# create the attribute
0.000000,0,0.000000,$META->add_attribute($action->{name} => (
0.000000,0,0.000000,reader  => $attr_reader,
0.000000,0,0.000000,default => sub { {} },
0.000022,2,0.000011,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000000,0,0.000000,
0.000000,0,0.000000,# create some helper methods
0.000000,0,0.000000,$META->add_method($methods->{add} => sub {
0.000000,0,0.000000,my ($self, @values) = @_;
0.000000,0,0.000000,$self->$attr_reader->{$_} = undef foreach @values;
0.000009,2,0.000005,}) if exists $methods->{add};
0.000000,0,0.000000,
0.000000,0,0.000000,$META->add_method($methods->{get_keys} => sub {
0.000000,0,0.000000,my ($self) = @_;
0.000000,0,0.000000,keys %{$self->$attr_reader};
0.000009,2,0.000004,}) if exists $methods->{get_keys};
0.000000,0,0.000000,
0.000000,0,0.000000,$META->add_method($methods->{get_values} => sub {
0.000000,0,0.000000,my ($self) = @_;
0.000000,0,0.000000,values %{$self->$attr_reader};
0.000009,2,0.000004,}) if exists $methods->{get_values};
0.000000,0,0.000000,
0.000000,0,0.000000,$META->add_method($methods->{get} => sub {
0.000000,0,0.000000,my ($self, $name) = @_;
0.000000,0,0.000000,$self->$attr_reader->{$name}
0.000003,2,0.000002,}) if exists $methods->{get};
0.000000,0,0.000000,
0.000000,0,0.000000,$META->add_method($methods->{existence} => sub {
0.000000,0,0.000000,my ($self, $name) = @_;
0.000000,0,0.000000,exists $self->$attr_reader->{$name} ? 1 : 0;
0.000014,2,0.000007,}) if exists $methods->{existence};
0.000000,0,0.000000,
0.000000,0,0.000000,$META->add_method($methods->{remove} => sub {
0.000000,0,0.000000,my ($self, @values) = @_;
0.000000,0,0.000000,delete $self->$attr_reader->{$_} foreach @values;
0.000013,2,0.000006,}) if exists $methods->{remove};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,$META->add_attribute(
0.000009,1,0.000009,'method_metaclass',
0.000000,0,0.000000,reader  => 'method_metaclass',
0.000000,0,0.000000,default => 'Moose::Meta::Role::Method',
0.000000,0,0.000000,Class::MOP::_definition_context(),
0.000000,0,0.000000,);
0.000000,0,0.000000,
