# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,package Moose::Meta::TypeConstraint;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Moose::Meta::TypeConstraint::AUTHORITY = 'cpan:STEVAN';
0.000032,1,0.000032,}
0.000000,0,0.000000,{
0.000005,2,0.000003,$Moose::Meta::TypeConstraint::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000034,2,0.000017,use strict;
0.000033,2,0.000016,use warnings;
0.000177,2,0.000089,use metaclass;
0.000000,0,0.000000,
0.000000,0,0.000000,use overload '0+'     => sub { refaddr(shift) }, # id an object
0.000000,0,0.000000,'""'     => sub { shift->name },   # stringify to tc name
0.000483,84,0.000006,bool     => sub { 1 },
0.000042,2,0.000021,fallback => 1;
0.000000,0,0.000000,
0.000036,2,0.000018,use Carp qw(confess);
0.000034,2,0.000017,use Class::Load qw(load_class);
0.000037,2,0.000019,use Eval::Closure;
0.000035,2,0.000017,use Scalar::Util qw(blessed refaddr);
0.000034,2,0.000017,use Sub::Name qw(subname);
0.000035,2,0.000018,use Try::Tiny;
0.000000,0,0.000000,
0.001816,2,0.000908,use base qw(Class::MOP::Object);
0.000000,0,0.000000,
0.000014,1,0.000014,__PACKAGE__->meta->add_attribute('name'       => (
0.000000,0,0.000000,reader => 'name',
0.000000,0,0.000000,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000013,1,0.000013,__PACKAGE__->meta->add_attribute('parent'     => (
0.000000,0,0.000000,reader    => 'parent',
0.000000,0,0.000000,predicate => 'has_parent',
0.000000,0,0.000000,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000000,0,0.000000,
0.000003,1,0.000003,my $null_constraint = sub { 1 };
0.000000,0,0.000000,__PACKAGE__->meta->add_attribute('constraint' => (
0.000000,0,0.000000,reader  => 'constraint',
0.000000,0,0.000000,writer  => '_set_constraint',
0.000008,1,0.000008,default => sub { $null_constraint },
0.000014,1,0.000014,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000000,0,0.000000,
0.000013,1,0.000013,__PACKAGE__->meta->add_attribute('message'   => (
0.000000,0,0.000000,accessor  => 'message',
0.000000,0,0.000000,predicate => 'has_message',
0.000000,0,0.000000,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000000,0,0.000000,
0.000013,1,0.000013,__PACKAGE__->meta->add_attribute('_default_message' => (
0.000000,0,0.000000,accessor  => '_default_message',
0.000000,0,0.000000,Class::MOP::_definition_context(),
0.000000,0,0.000000,));
0.000000,0,0.000000,
0.000000,0,0.000000,# can't make this a default because it has to close over the type name, and
0.000000,0,0.000000,# cmop attributes don't have lazy
0.000000,0,0.000000,my $_default_message_generator = sub {
0.000040,23,0.000002,my $name = shift;
0.000000,0,0.000000,sub {
0.000000,0,0.000000,my $value = shift;
0.000000,0,0.000000,# have to load it late like this, since it uses Moose itself
0.000000,0,0.000000,my $can_partialdump = try {
0.000000,0,0.000000,# versions prior to 0.14 had a potential infinite loop bug
0.000000,0,0.000000,load_class('Devel::PartialDump', { -version => 0.14 });
0.000000,0,0.000000,1;
0.000000,0,0.000000,};
0.000000,0,0.000000,if ($can_partialdump) {
0.000000,0,0.000000,$value = Devel::PartialDump->new->dump($value);
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,$value = (defined $value ? overload::StrVal($value) : 'undef');
0.000000,0,0.000000,}
0.000000,0,0.000000,return "Validation failed for '" . $name . "' with value $value";
0.000000,0,0.000000,}
0.000175,24,0.000007,};
0.000013,1,0.000013,__PACKAGE__->meta->add_attribute('coercion'   => (
0.000000,0,0.000000,accessor  => 'coercion',
0.000000,0,0.000000,predicate => 'has_coercion',
