# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Moose;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Moose::AUTHORITY = 'cpan:STEVAN';
0.000029,1,0.000029,}
0.000000,0,0.000000,{
0.000005,2,0.000002,$Moose::VERSION = '2.1005';
0.000000,0,0.000000,}
0.000032,2,0.000016,use strict;
0.000032,2,0.000016,use warnings;
0.000000,0,0.000000,
0.000058,2,0.000029,use 5.008;
0.000000,0,0.000000,
0.000038,2,0.000019,use Scalar::Util 'blessed';
0.000035,2,0.000018,use Carp         'carp', 'confess';
0.000043,2,0.000022,use Class::Load  'is_class_loaded';
0.000000,0,0.000000,
0.000123,2,0.000061,use Moose::Deprecated;
0.000106,2,0.000053,use Moose::Exporter;
0.000000,0,0.000000,
0.000051,2,0.000026,use Class::MOP;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000007,1,0.000007,die "Class::MOP version $Moose::VERSION required--this is version $Class::MOP::VERSION"
0.000000,0,0.000000,if $Moose::VERSION && $Class::MOP::VERSION ne $Moose::VERSION;
0.000022,1,0.000022,}
0.000000,0,0.000000,
0.000142,2,0.000071,use Moose::Meta::Class;
0.000160,2,0.000080,use Moose::Meta::TypeConstraint;
0.000153,2,0.000076,use Moose::Meta::TypeCoercion;
0.000030,2,0.000015,use Moose::Meta::Attribute;
0.000140,2,0.000070,use Moose::Meta::Instance;
0.000000,0,0.000000,
0.000116,2,0.000058,use Moose::Object;
0.000000,0,0.000000,
0.000151,2,0.000076,use Moose::Meta::Role;
0.000168,2,0.000084,use Moose::Meta::Role::Composite;
0.000140,2,0.000070,use Moose::Meta::Role::Application;
0.000125,2,0.000063,use Moose::Meta::Role::Application::RoleSummation;
0.000122,2,0.000061,use Moose::Meta::Role::Application::ToClass;
0.000142,2,0.000071,use Moose::Meta::Role::Application::ToRole;
0.000108,2,0.000054,use Moose::Meta::Role::Application::ToInstance;
0.000000,0,0.000000,
0.000046,2,0.000023,use Moose::Util::TypeConstraints;
0.000031,2,0.000016,use Moose::Util ();
0.000000,0,0.000000,
0.001037,2,0.000519,use Moose::Meta::Attribute::Native;
0.000000,0,0.000000,
0.000000,0,0.000000,sub throw_error {
