# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Params::Util;
0.000000,0,0.000000,
0.000000,0,0.000000,=pod
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,Params::Util - Simple, compact and correct param-checking functions
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,# Import some functions
0.000000,0,0.000000,use Params::Util qw{_SCALAR _HASH _INSTANCE};
0.000000,0,0.000000,
0.000000,0,0.000000,# If you are lazy, or need a lot of them...
0.000000,0,0.000000,use Params::Util ':ALL';
0.000000,0,0.000000,
0.000000,0,0.000000,sub foo {
0.000000,0,0.000000,my $object  = _INSTANCE(shift, 'Foo') or return undef;
0.000000,0,0.000000,my $image   = _SCALAR(shift)          or return undef;
0.000000,0,0.000000,my $options = _HASH(shift)            or return undef;
0.000000,0,0.000000,# etc...
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 DESCRIPTION
0.000000,0,0.000000,
0.000000,0,0.000000,C<Params::Util> provides a basic set of importable functions that makes
0.000000,0,0.000000,checking parameters a hell of a lot easier
0.000000,0,0.000000,
0.000000,0,0.000000,While they can be (and are) used in other contexts, the main point
0.000000,0,0.000000,behind this module is that the functions B<both> Do What You Mean,
0.000000,0,0.000000,and Do The Right Thing, so they are most useful when you are getting
0.000000,0,0.000000,params passed into your code from someone and/or somewhere else
0.000000,0,0.000000,and you can't really trust the quality.
0.000000,0,0.000000,
0.000000,0,0.000000,Thus, C<Params::Util> is of most use at the edges of your API, where
0.000000,0,0.000000,params and data are coming in from outside your code.
0.000000,0,0.000000,
0.000000,0,0.000000,The functions provided by C<Params::Util> check in the most strictly
0.000000,0,0.000000,correct manner known, are documented as thoroughly as possible so their
0.000000,0,0.000000,exact behaviour is clear, and heavily tested so make sure they are not
0.000000,0,0.000000,fooled by weird data and Really Bad Things.
0.000000,0,0.000000,
0.000000,0,0.000000,To use, simply load the module providing the functions you want to use
0.000000,0,0.000000,as arguments (as shown in the SYNOPSIS).
0.000000,0,0.000000,
0.000000,0,0.000000,To aid in maintainability, C<Params::Util> will B<never> export by
0.000000,0,0.000000,default.
0.000000,0,0.000000,
0.000000,0,0.000000,You must explicitly name the functions you want to export, or use the
0.000000,0,0.000000,C<:ALL> param to just have it export everything (although this is not
0.000000,0,0.000000,recommended if you have any _FOO functions yourself with which future
0.000000,0,0.000000,additions to C<Params::Util> may clash)
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 FUNCTIONS
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000059,2,0.000029,use 5.00503;
0.000053,2,0.000026,use strict;
0.000002,1,0.000002,require overload;
0.000002,1,0.000002,require Exporter;
0.000001,1,0.000001,require Scalar::Util;
0.000002,1,0.000002,require DynaLoader;
0.000000,0,0.000000,
0.000671,2,0.000335,use vars qw{$VERSION @ISA @EXPORT_OK %EXPORT_TAGS};
0.000000,0,0.000000,
0.000002,1,0.000002,$VERSION   = '1.07';
0.000008,1,0.000008,@ISA       = qw{
0.000000,0,0.000000,Exporter
0.000000,0,0.000000,DynaLoader
0.000000,0,0.000000,};
0.000005,1,0.000005,@EXPORT_OK = qw{
0.000000,0,0.000000,_STRING     _IDENTIFIER
0.000000,0,0.000000,_CLASS      _CLASSISA   _SUBCLASS  _DRIVER  _CLASSDOES
0.000000,0,0.000000,_NUMBER     _POSINT     _NONNEGINT
0.000000,0,0.000000,_SCALAR     _SCALAR0
0.000000,0,0.000000,_ARRAY      _ARRAY0     _ARRAYLIKE
0.000000,0,0.000000,_HASH       _HASH0      _HASHLIKE
0.000000,0,0.000000,_CODE       _CODELIKE
0.000000,0,0.000000,_INVOCANT   _REGEX      _INSTANCE  _INSTANCEDOES
0.000000,0,0.000000,_SET        _SET0
0.000000,0,0.000000,_HANDLE
0.000000,0,0.000000,};
0.000003,1,0.000003,%EXPORT_TAGS = ( ALL => \@EXPORT_OK );
0.000000,0,0.000000,
0.000004,1,0.000004,eval {
0.000002,1,0.000002,local $ENV{PERL_DL_NONLAZY} = 0 if $ENV{PERL_DL_NONLAZY};
0.000011,1,0.000011,bootstrap Params::Util $VERSION;
0.000002,1,0.000002,1;
0.000000,0,0.000000,} unless $ENV{PERL_PARAMS_UTIL_PP};
0.000000,0,0.000000,
0.000000,0,0.000000,# Use a private pure-perl copy of looks_like_number if the version of
0.000000,0,0.000000,# Scalar::Util is old (for whatever reason).
0.000023,1,0.000023,my $SU = eval "$Scalar::Util::VERSION" || 0;
0.000009,1,0.000009,if ( $SU >= 1.18 ) { 
0.000000,0,0.000000,Scalar::Util->import('looks_like_number');
0.000000,0,0.000000,} else {
0.000000,0,0.000000,eval <<'END_PERL';
0.000000,0,0.000000,sub looks_like_number {
0.000000,0,0.000000,local $_ = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,# checks from perlfaq4
0.000000,0,0.000000,return 0 if !defined($_);
0.000000,0,0.000000,if (ref($_)) {
0.000000,0,0.000000,return overload::Overloaded($_) ? defined(0 + $_) : 0;
0.000000,0,0.000000,}
0.000000,0,0.000000,return 1 if (/^[+-]?[0-9]+$/); # is a +/- integer
0.000000,0,0.000000,return 1 if (/^([+-]?)(?=[0-9]|\.[0-9])[0-9]*(\.[0-9]*)?([Ee]([+-]?[0-9]+))?$/); # a C float
0.000000,0,0.000000,return 1 if ($] >= 5.008 and /^(Inf(inity)?|NaN)$/i) or ($] >= 5.006001 and /^Inf$/i);
0.000000,0,0.000000,
0.000000,0,0.000000,0;
0.000000,0,0.000000,}
0.000000,0,0.000000,END_PERL
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,#####################################################################
0.000000,0,0.000000,# Param Checking Functions
0.000000,0,0.000000,
0.000000,0,0.000000,=pod
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 _STRING $string
0.000000,0,0.000000,
0.000000,0,0.000000,The C<_STRING> function is intended to be imported into your
0.000000,0,0.000000,package, and provides a convenient way to test to see if a value is
0.000000,0,0.000000,a normal non-false string of non-zero length.
0.000000,0,0.000000,
0.000000,0,0.000000,Note that this will NOT do anything magic to deal with the special
0.000000,0,0.000000,C<'0'> false negative case, but will return it.
0.000000,0,0.000000,
0.000000,0,0.000000,# '0' not considered valid data
0.000000,0,0.000000,my $name = _STRING(shift) or die "Bad name";
0.000000,0,0.000000,
0.000000,0,0.000000,# '0' is considered valid data
0.000000,0,0.000000,my $string = _STRING($_[0]) ? shift : die "Bad string";
0.000000,0,0.000000,
0.000000,0,0.000000,Please also note that this function expects a normal string. It does
0.000000,0,0.000000,not support overloading or other magic techniques to get a string.
0.000000,0,0.000000,
0.000000,0,0.000000,Returns the string as a conveince if it is a valid string, or
0.000000,0,0.000000,C<undef> if not.
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000002,1,0.000002,eval <<'END_PERL' unless defined &_STRING;
0.000000,0,0.000000,sub _STRING ($) {
0.000000,0,0.000000,(defined $_[0] and ! ref $_[0] and length($_[0])) ? $_[0] : undef;
0.000000,0,0.000000,}
0.000000,0,0.000000,END_PERL
0.000000,0,0.000000,
0.000000,0,0.000000,=pod
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 _IDENTIFIER $string
0.000000,0,0.000000,
0.000000,0,0.000000,The C<_IDENTIFIER> function is intended to be imported into your
0.000000,0,0.000000,package, and provides a convenient way to test to see if a value is
0.000000,0,0.000000,a string that is a valid Perl identifier.
0.000000,0,0.000000,
0.000000,0,0.000000,Returns the string as a convenience if it is a valid identifier, or
0.000000,0,0.000000,C<undef> if not.
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000071,1,0.000071,eval <<'END_PERL' unless defined &_IDENTIFIER;
0.000000,0,0.000000,sub _IDENTIFIER ($) {
0.000000,0,0.000000,(defined $_[0] and ! ref $_[0] and $_[0] =~ m/^[^\W\d]\w*\z/s) ? $_[0] : undef;
0.000000,0,0.000000,}
0.000000,0,0.000000,END_PERL
0.000000,0,0.000000,
0.000000,0,0.000000,=pod
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 _CLASS $string
0.000000,0,0.000000,
0.000000,0,0.000000,The C<_CLASS> function is intended to be imported into your
0.000000,0,0.000000,package, and provides a convenient way to test to see if a value is
0.000000,0,0.000000,a string that is a valid Perl class.
