# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Params::Validate::XS;
0.000000,0,0.000000,{
0.000005,2,0.000002,$Params::Validate::XS::VERSION = '1.08';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000034,2,0.000017,use strict;
0.000153,2,0.000076,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,my $default_fail = sub {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::confess( $_[0] );
0.000003,1,0.000003,};
0.000000,0,0.000000,
0.000000,0,0.000000,{
0.000008,2,0.000004,my %defaults = (
0.000000,0,0.000000,ignore_case    => 0,
0.000000,0,0.000000,strip_leading  => 0,
0.000000,0,0.000000,allow_extra    => 0,
0.000000,0,0.000000,on_fail        => $default_fail,
0.000000,0,0.000000,stack_skip     => 1,
0.000000,0,0.000000,normalize_keys => undef,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000002,1,0.000002,*set_options = \&validation_options;
0.000000,0,0.000000,
0.000000,0,0.000000,sub validation_options {
0.000000,0,0.000000,my %opts = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,my $caller = caller;
0.000000,0,0.000000,
0.000000,0,0.000000,foreach ( keys %defaults ) {
0.000000,0,0.000000,$opts{$_} = $defaults{$_} unless exists $opts{$_};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,$Params::Validate::OPTIONS{$caller} = \%opts;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000080,2,0.000040,use XSLoader;
0.000000,0,0.000000,XSLoader::load(
0.000000,0,0.000000,__PACKAGE__,
0.000000,0,0.000000,exists $Params::Validate::XS::{VERSION}
0.000181,1,0.000181,? ${ $Params::Validate::XS::{VERSION} }
0.000000,0,0.000000,: (),
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _check_regex_from_xs {
0.000000,0,0.000000,return ( defined $_[0] ? $_[0] : '' ) =~ /$_[1]/ ? 1 : 0;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000008,1,0.000008,1;
