# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,package Pod::Simple::BlackBox;
0.000000,0,0.000000,#
0.000000,0,0.000000,# "What's in the box?"  "Pain."
0.000000,0,0.000000,#
0.000000,0,0.000000,###########################################################################
0.000000,0,0.000000,#
0.000000,0,0.000000,# This is where all the scary things happen: parsing lines into
0.000000,0,0.000000,#  paragraphs; and then into directives, verbatims, and then also
0.000000,0,0.000000,#  turning formatting sequences into treelets.
0.000000,0,0.000000,#
0.000000,0,0.000000,# Are you really sure you want to read this code?
0.000000,0,0.000000,#
0.000000,0,0.000000,#-----------------------------------------------------------------------------
0.000000,0,0.000000,#
0.000000,0,0.000000,# The basic work of this module Pod::Simple::BlackBox is doing the dirty work
0.000000,0,0.000000,# of parsing Pod into treelets (generally one per non-verbatim paragraph), and
0.000000,0,0.000000,# to call the proper callbacks on the treelets.
0.000000,0,0.000000,#
0.000000,0,0.000000,# Every node in a treelet is a ['name', {attrhash}, ...children...]
0.000000,0,0.000000,
0.000032,2,0.000016,use integer; # vroom!
0.000031,2,0.000015,use strict;
0.000029,2,0.000015,use Carp ();
0.000060,2,0.000030,use vars qw($VERSION );
0.000002,1,0.000002,$VERSION = '3.28';
0.000000,0,0.000000,#use constant DEBUG => 7;
0.000000,0,0.000000,BEGIN {
0.000002,1,0.000002,require Pod::Simple;
0.000008,1,0.000008,*DEBUG = \&Pod::Simple::DEBUG unless defined &DEBUG
0.005167,1,0.005167,}
0.000000,0,0.000000,
0.000000,0,0.000000,#@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
0.000000,0,0.000000,
0.000000,0,0.000000,sub parse_line { shift->parse_lines(@_) } # alias
0.000000,0,0.000000,
0.000000,0,0.000000,# - - -  Turn back now!  Run away!  - - -
0.000000,0,0.000000,
0.000000,0,0.000000,sub parse_lines {             # Usage: $parser->parse_lines(@lines)
0.000000,0,0.000000,# an undef means end-of-stream
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,my $code_handler = $self->{'code_handler'};
0.000000,0,0.000000,my $cut_handler  = $self->{'cut_handler'};
0.000000,0,0.000000,my $wl_handler   = $self->{'whiteline_handler'};
0.000000,0,0.000000,$self->{'line_count'} ||= 0;
0.000000,0,0.000000,
0.000000,0,0.000000,my $scratch;
0.000000,0,0.000000,
0.000000,0,0.000000,DEBUG > 4 and 
0.000000,0,0.000000,print "# Parsing starting at line ", $self->{'line_count'}, ".\n";
0.000000,0,0.000000,
0.000000,0,0.000000,DEBUG > 5 and
0.000000,0,0.000000,print "#  About to parse lines: ",
0.000000,0,0.000000,join(' ', map defined($_) ? "[$_]" : "EOF", @_), "\n";
0.000000,0,0.000000,
0.000000,0,0.000000,my $paras = ($self->{'paras'} ||= []);
0.000000,0,0.000000,# paragraph buffer.  Because we need to defer processing of =over
0.000000,0,0.000000,# directives and verbatim paragraphs.  We call _ponder_paragraph_buffer
0.000000,0,0.000000,# to process this.
0.000000,0,0.000000,
0.000000,0,0.000000,$self->{'pod_para_count'} ||= 0;
0.000000,0,0.000000,
0.000000,0,0.000000,my $line;
