# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Try::Tiny;
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,$Try::Tiny::AUTHORITY = 'cpan:NUFFIN';
0.000031,1,0.000031,}
0.000000,0,0.000000,{
0.000005,2,0.000002,$Try::Tiny::VERSION = '0.18';
0.000000,0,0.000000,}
0.000051,2,0.000025,use 5.006;
0.000000,0,0.000000,# ABSTRACT: minimal try/catch with proper preservation of $@
0.000000,0,0.000000,
0.000032,2,0.000016,use strict;
0.000037,2,0.000019,use warnings;
0.000000,0,0.000000,
0.000053,2,0.000026,use base 'Exporter';
0.000003,1,0.000003,our @EXPORT = our @EXPORT_OK = qw(try catch finally);
0.000000,0,0.000000,
0.000059,2,0.000030,use Carp;
0.000002,1,0.000002,$Carp::Internal{+__PACKAGE__}++;
0.000000,0,0.000000,
0.000529,1,0.000529,BEGIN { eval "use Sub::Name; 1" or *{subname} = sub {1} }
0.000000,0,0.000000,
0.000000,0,0.000000,# Need to prototype as @ not $$ because of the way Perl evaluates the prototype.
0.000000,0,0.000000,# Keeping it at $$ means you only ever get 1 sub because we need to eval in a list
0.000000,0,0.000000,# context & not a scalar one
0.000000,0,0.000000,
0.000000,0,0.000000,sub try (&;@) {
0.000937,493,0.000002,my ( $try, @code_refs ) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,# we need to save this here, the eval block will be in scalar context due
0.000000,0,0.000000,# to $failed
0.000759,493,0.000002,my $wantarray = wantarray;
0.000000,0,0.000000,
0.000000,0,0.000000,# work around perl bug by explicitly initializing these, due to the likelyhood
0.000000,0,0.000000,# this will be used in global destruction (perl rt#119311)
0.000771,493,0.000002,my ( $catch, @finally ) = ();
0.000000,0,0.000000,
0.000000,0,0.000000,# find labeled blocks in the argument list.
0.000000,0,0.000000,# catch and finally tag the blocks by blessing a scalar reference to them.
0.001576,493,0.000003,foreach my $code_ref (@code_refs) {
0.000000,0,0.000000,
0.002566,493,0.000005,if ( ref($code_ref) eq 'Try::Tiny::Catch' ) {
0.000668,493,0.000001,croak 'A try() may not be followed by multiple catch() blocks'
0.000000,0,0.000000,if $catch;
0.000768,493,0.000002,$catch = ${$code_ref};
0.000000,0,0.000000,} elsif ( ref($code_ref) eq 'Try::Tiny::Finally' ) {
0.000000,0,0.000000,push @finally, ${$code_ref};
0.000000,0,0.000000,} else {
0.000000,0,0.000000,croak(
0.000000,0,0.000000,'try() encountered an unexpected argument ('
0.000000,0,0.000000,. ( defined $code_ref ? $code_ref : 'undef' )
0.000000,0,0.000000,. ') - perhaps a missing semi-colon before or'
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
