# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package constant;
0.000052,2,0.000026,use 5.008;
0.000031,2,0.000016,use strict;
0.000035,2,0.000017,use warnings::register;
0.000000,0,0.000000,
0.000168,2,0.000084,use vars qw($VERSION %declared);
0.000002,1,0.000002,$VERSION = '1.27';
0.000000,0,0.000000,
0.000000,0,0.000000,#=======================================================================
0.000000,0,0.000000,
0.000000,0,0.000000,# Some names are evil choices.
0.000007,1,0.000007,my %keywords = map +($_, 1), qw{ BEGIN INIT CHECK END DESTROY AUTOLOAD };
0.000002,1,0.000002,$keywords{UNITCHECK}++ if $] > 5.009;
0.000000,0,0.000000,
0.000009,1,0.000009,my %forced_into_main = map +($_, 1),
0.000000,0,0.000000,qw{ STDIN STDOUT STDERR ARGV ARGVOUT ENV INC SIG };
0.000000,0,0.000000,
0.000006,1,0.000006,my %forbidden = (%keywords, %forced_into_main);
0.000000,0,0.000000,
0.000012,1,0.000012,my $normal_constant_name = qr/^_?[^\W_0-9]\w*\z/;
0.000018,1,0.000018,my $tolerable = qr/^[A-Za-z_]\w*\z/;
0.000007,1,0.000007,my $boolean = qr/^[01]?\z/;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,# We'd like to do use constant _CAN_PCS => $] > 5.009002
0.000000,0,0.000000,# but that's a bit tricky before we load the constant module :-)
0.000000,0,0.000000,# By doing this, we save 1 run time check for *every* call to import.
0.000098,2,0.000049,no strict 'refs';
0.000003,1,0.000003,my $const = $] > 5.009002;
0.000014,1,0.000014,*_CAN_PCS = sub () {$const};
0.000000,0,0.000000,
0.000002,1,0.000002,my $downgrade = $] < 5.015004; # && $] >= 5.008
0.000010,1,0.000010,*_DOWNGRADE = sub () { $downgrade };
0.000070,1,0.000070,}
0.000000,0,0.000000,
0.000000,0,0.000000,#=======================================================================
0.000000,0,0.000000,# import() - import symbols into user's namespace
0.000000,0,0.000000,#
0.000000,0,0.000000,# What we actually do is define a function in the caller's namespace
0.000000,0,0.000000,# which returns the value. The function we create will normally
0.000000,0,0.000000,# be inlined as a constant, thereby avoiding further sub calling 
0.000000,0,0.000000,# overhead.
0.000000,0,0.000000,#=======================================================================
0.000000,0,0.000000,sub import {
0.000136,80,0.000002,my $class = shift;
0.000126,80,0.000002,return unless @_;			# Ignore 'use constant;'
0.000110,80,0.000001,my $constants;
0.000131,80,0.000002,my $multiple  = ref $_[0];
0.000142,80,0.000002,my $pkg = caller;
0.000108,80,0.000001,my $flush_mro;
0.000106,80,0.000001,my $symtab;
0.000000,0,0.000000,
0.000229,80,0.000003,if (_CAN_PCS) {
0.000271,2,0.000135,no strict 'refs';
0.000201,80,0.000003,$symtab = \%{$pkg . '::'};
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000228,80,0.000003,if ( $multiple ) {
0.000000,0,0.000000,if (ref $_[0] ne 'HASH') {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::croak("Invalid reference type '".ref(shift)."' not 'HASH'");
0.000000,0,0.000000,}
0.000000,0,0.000000,$constants = shift;
0.000000,0,0.000000,} else {
0.000119,80,0.000001,unless (defined $_[0]) {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::croak("Can't use undef as constant name");
0.000000,0,0.000000,}
0.000194,80,0.000002,$constants->{+shift} = undef;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000316,80,0.000004,foreach my $name ( keys %$constants ) {
0.000000,0,0.000000,# Normal constant name
0.001183,80,0.000015,if ($name =~ $normal_constant_name and !$forbidden{$name}) {
0.000000,0,0.000000,# Everything is okay
0.000000,0,0.000000,
0.000000,0,0.000000,# Name forced into main, but we're not in main. Fatal.
0.000000,0,0.000000,} elsif ($forced_into_main{$name} and $pkg ne 'main') {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::croak("Constant name '$name' is forced into main::");
0.000000,0,0.000000,
0.000000,0,0.000000,# Starts with double underscore. Fatal.
