# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package re;
0.000000,0,0.000000,
0.000000,0,0.000000,# pragma for controlling the regexp engine
0.000032,2,0.000016,use strict;
0.001009,2,0.000504,use warnings;
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION     = "0.23";
0.000008,1,0.000008,our @ISA         = qw(Exporter);
0.000003,1,0.000003,our @EXPORT_OK   = ('regmust',
0.000000,0,0.000000,qw(is_regexp regexp_pattern
0.000000,0,0.000000,regname regnames regnames_count));
0.000008,1,0.000008,our %EXPORT_OK = map { $_ => 1 } @EXPORT_OK;
0.000000,0,0.000000,
0.000002,1,0.000002,my %bitmask = (
0.000000,0,0.000000,taint   => 0x00100000, # HINT_RE_TAINT
0.000000,0,0.000000,eval    => 0x00200000, # HINT_RE_EVAL
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000001,1,0.000001,my $flags_hint = 0x02000000; # HINT_RE_FLAGS
0.000001,1,0.000001,my $PMMOD_SHIFT = 0;
0.000006,1,0.000006,my %reflags = (
0.000000,0,0.000000,m => 1 << ($PMMOD_SHIFT + 0),
0.000000,0,0.000000,s => 1 << ($PMMOD_SHIFT + 1),
0.000000,0,0.000000,i => 1 << ($PMMOD_SHIFT + 2),
0.000000,0,0.000000,x => 1 << ($PMMOD_SHIFT + 3),
0.000000,0,0.000000,p => 1 << ($PMMOD_SHIFT + 4),
0.000000,0,0.000000,# special cases:
0.000000,0,0.000000,d => 0,
0.000000,0,0.000000,l => 1,
0.000000,0,0.000000,u => 2,
0.000000,0,0.000000,a => 3,
0.000000,0,0.000000,aa => 4,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,sub setcolor {
0.000000,0,0.000000,eval {				# Ignore errors
0.000000,0,0.000000,require Term::Cap;
0.000000,0,0.000000,
0.000000,0,0.000000,my $terminal = Tgetent Term::Cap ({OSPEED => 9600}); # Avoid warning.
0.000000,0,0.000000,my $props = $ENV{PERL_RE_TC} || 'md,me,so,se,us,ue';
0.000000,0,0.000000,my @props = split /,/, $props;
0.000000,0,0.000000,my $colors = join "\t", map {$terminal->Tputs($_,1)} @props;
0.000000,0,0.000000,
0.000000,0,0.000000,$colors =~ s/\0//g;
