# Profile data generated by Devel::NYTProf::Reader
# Version: v5.06
# More information at http://search.cpan.org/dist/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package warnings::register;
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '1.02';
0.000000,0,0.000000,
0.000000,0,0.000000,=pod
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,warnings::register - warnings import function
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,use warnings::register;
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 DESCRIPTION
0.000000,0,0.000000,
0.000000,0,0.000000,Creates a warnings category with the same name as the current package.
0.000000,0,0.000000,
0.000000,0,0.000000,See L<warnings> and L<perllexwarn> for more information on this module's
0.000000,0,0.000000,usage.
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000002,1,0.000002,require warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,# left here as cruft in case other users were using this undocumented routine
0.000000,0,0.000000,# -- rjbs, 2010-09-08
0.000000,0,0.000000,sub mkMask
0.000000,0,0.000000,{
0.000000,0,0.000000,my ($bit) = @_;
0.000000,0,0.000000,my $mask = "";
0.000000,0,0.000000,
0.000000,0,0.000000,vec($mask, $bit, 1) = 1;
0.000000,0,0.000000,return $mask;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub import
0.000000,0,0.000000,{
0.000006,4,0.000002,shift;
0.000007,4,0.000002,my @categories = @_;
0.000000,0,0.000000,
0.000016,4,0.000004,my $package = (caller(0))[0];
0.000022,4,0.000006,warnings::register_categories($package);
0.000000,0,0.000000,
0.000033,4,0.000008,warnings::register_categories($package . "::$_") for @categories;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000004,1,0.000004,1;
